presolving:
(round 1, fast)       677 del vars, 677 del conss, 0 add conss, 7574 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.1s) running MILP presolver
   (0.1s) MILP presolver found nothing
   (0.2s) probing: 51/209 (24.4%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.2s) probing aborted: 50/50 successive totally useless probings
   (0.2s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.2s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 677 deleted vars, 677 deleted constraints, 0 added constraints, 7574 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 7106 variables (209 bin, 0 int, 0 impl, 6897 cont) and 1068 constraints
   1068 constraints of type <linear>
Presolving Time: 0.19

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.2s|     1 |     0 |   216 |     - |   locks|   0 |7106 |1068 |1068 |   0 |  0 |   0 |   0 | 0.000000e+00 | 7.079401e+05 |    Inf | unknown
i 0.3s|     1 |     0 |   216 |     - |  oneopt|   0 |7106 |1068 |1068 |   0 |  0 |   0 |   0 | 0.000000e+00 | 2.415617e+05 |    Inf | unknown
  0.3s|     1 |     0 |   717 |     - |    58M |   0 |7106 |1068 |1068 |   0 |  0 |   0 |   0 | 1.298318e+05 | 2.415617e+05 |  86.06%| unknown
r 0.3s|     1 |     0 |   717 |     - |simplero|   0 |7106 |1068 |1068 |   0 |  0 |   0 |   0 | 1.298318e+05 | 2.209589e+05 |  70.19%| unknown
  0.4s|     1 |     0 |   962 |     - |    62M |   0 |7106 |1068 |1098 |  30 |  1 |   0 |   0 | 1.523613e+05 | 2.209589e+05 |  45.02%| unknown
  0.5s|     1 |     0 |  1140 |     - |    62M |   0 |7106 |1068 |1123 |  55 |  2 |   0 |   0 | 1.656772e+05 | 2.209589e+05 |  33.37%| unknown
  0.5s|     1 |     0 |  1251 |     - |    64M |   0 |7106 |1068 |1139 |  71 |  3 |   0 |   0 | 1.711398e+05 | 2.209589e+05 |  29.11%| unknown
  0.6s|     1 |     0 |  1301 |     - |    65M |   0 |7106 |1068 |1148 |  80 |  4 |   0 |   0 | 1.725781e+05 | 2.209589e+05 |  28.03%| unknown
  0.7s|     1 |     0 |  1462 |     - |    66M |   0 |7106 |1068 |1175 | 107 |  5 |   0 |   0 | 1.771427e+05 | 2.209589e+05 |  24.73%| unknown
  0.9s|     1 |     0 |  1692 |     - |    67M |   0 |7106 |1068 |1197 | 129 |  6 |   0 |   0 | 1.806789e+05 | 2.209589e+05 |  22.29%| unknown
  1.1s|     1 |     0 |  1862 |     - |    67M |   0 |7106 |1068 |1212 | 144 |  7 |   0 |   0 | 1.821788e+05 | 2.209589e+05 |  21.29%| unknown
  1.2s|     1 |     0 |  1972 |     - |    67M |   0 |7106 |1068 |1226 | 158 |  8 |   0 |   0 | 1.831348e+05 | 2.209589e+05 |  20.65%| unknown
