feasible solution found by trivial heuristic after 1.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       1292 del vars, 1329 del conss, 0 add conss, 1292 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 1463 clqs
(round 2, fast)       291992 del vars, 3913 del conss, 0 add conss, 291992 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 1463 clqs
(round 3, fast)       292217 del vars, 4138 del conss, 0 add conss, 291992 chg bounds, 1 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 1463 clqs
   (2.4s) running MILP presolver
   (2.4s) MILP presolver found nothing
(round 4, exhaustive) 292217 del vars, 4215 del conss, 0 add conss, 291992 chg bounds, 78 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 1463 clqs
(round 5, exhaustive) 292217 del vars, 4215 del conss, 0 add conss, 291992 chg bounds, 78 chg sides, 0 chg coeffs, 1387 upgd conss, 0 impls, 1463 clqs
(round 6, medium)     292219 del vars, 4215 del conss, 42 add conss, 291992 chg bounds, 130 chg sides, 223 chg coeffs, 1387 upgd conss, 0 impls, 1504 clqs
   (2.4s) probing: 51/223 (22.9%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (2.4s) probing aborted: 50/50 successive totally useless probings
   (2.4s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (2.4s) no symmetry present
presolving (7 rounds: 7 fast, 4 medium, 3 exhaustive):
 292219 deleted vars, 4216 deleted constraints, 42 added constraints, 291992 tightened bounds, 0 added holes, 130 changed sides, 223 changed coefficients
 0 implications, 1504 cliques
presolved problem has 223 variables (223 bin, 0 int, 0 impl, 0 cont) and 1428 constraints
   1428 constraints of type <setppc>
Presolving Time: 1.78
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 2.4s|     1 |     0 |     0 |     - |  clique|   0 | 223 |1428 |1428 |   0 |  0 |   0 |   0 | 1.420982e+07 | 5.161647e+05 |2652.96%| unknown
  2.6s|     1 |     0 |  1341 |     - |   705M |   0 | 223 |1430 |1428 |   0 |  0 |   3 |   0 | 1.532629e+06 | 5.161647e+05 | 196.93%| unknown
  2.6s|     1 |     0 |  1785 |     - |   706M |   0 | 223 |1430 |1429 |   1 |  1 |   4 |   0 | 1.462005e+06 | 5.161647e+05 | 183.24%| unknown
  2.7s|     1 |     0 |  2099 |     - |   708M |   0 | 223 |1430 |1430 |   2 |  2 |   4 |   0 | 1.415790e+06 | 5.161647e+05 | 174.29%| unknown
  2.8s|     1 |     0 |  2476 |     - |   710M |   0 | 223 |1431 |1431 |   3 |  3 |   5 |   0 | 1.369592e+06 | 5.161647e+05 | 165.34%| unknown
  2.8s|     1 |     0 |  2794 |     - |   710M |   0 | 223 |1431 |1433 |   5 |  4 |   5 |   0 | 1.328028e+06 | 5.161647e+05 | 157.29%| unknown
  2.9s|     1 |     0 |  3008 |     - |   711M |   0 | 223 |1431 |1435 |   7 |  5 |   5 |   0 | 1.307285e+06 | 5.161647e+05 | 153.27%| unknown
  2.9s|     1 |     0 |  3273 |     - |   713M |   0 | 223 |1431 |1438 |  10 |  6 |   5 |   0 | 1.282710e+06 | 5.161647e+05 | 148.51%| unknown
  3.0s|     1 |     0 |  3442 |     - |   714M |   0 | 223 |1431 |1440 |  12 |  7 |   5 |   0 | 1.270700e+06 | 5.161647e+05 | 146.18%| unknown
  3.0s|     1 |     0 |  3635 |     - |   716M |   0 | 223 |1431 |1441 |  13 |  8 |   5 |   0 | 1.260745e+06 | 5.161647e+05 | 144.25%| unknown
  3.1s|     1 |     0 |  3809 |     - |   718M |   0 | 223 |1431 |1442 |  14 |  9 |   5 |   0 | 1.252273e+06 | 5.161647e+05 | 142.61%| unknown
  3.1s|     1 |     0 |  3999 |     - |   718M |   0 | 223 |1431 |1444 |  16 | 10 |   5 |   0 | 1.242034e+06 | 5.161647e+05 | 140.63%| unknown
  3.2s|     1 |     0 |  4142 |     - |   718M |   0 | 223 |1431 |1447 |  19 | 11 |   6 |   0 | 1.237073e+06 | 5.161647e+05 | 139.67%| unknown
  3.2s|     1 |     0 |  4319 |     - |   718M |   0 | 223 |1431 |1451 |  23 | 12 |   7 |   0 | 1.226799e+06 | 5.161647e+05 | 137.68%| unknown
  3.2s|     1 |     0 |  4460 |     - |   719M |   0 | 223 |1431 |1453 |  25 | 13 |   7 |   0 | 1.216841e+06 | 5.161647e+05 | 135.75%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.2s|     1 |     0 |  4532 |     - |   719M |   0 | 223 |1431 |1455 |  27 | 14 |   8 |   0 | 1.214071e+06 | 5.161647e+05 | 135.21%| unknown
  3.3s|     1 |     0 |  4696 |     - |   719M |   0 | 223 |1431 |1457 |  29 | 15 |   8 |   0 | 1.207059e+06 | 5.161647e+05 | 133.85%| unknown
  3.3s|     1 |     0 |  4791 |     - |   719M |   0 | 223 |1431 |1459 |  31 | 16 |   9 |   0 | 1.199977e+06 | 5.161647e+05 | 132.48%| unknown
  3.3s|     1 |     0 |  4901 |     - |   719M |   0 | 223 |1431 |1461 |  33 | 17 |   9 |   0 | 1.196195e+06 | 5.161647e+05 | 131.75%| unknown
  3.3s|     1 |     0 |  4989 |     - |   719M |   0 | 223 |1431 |1463 |  35 | 18 |  10 |   0 | 1.193232e+06 | 5.161647e+05 | 131.17%| unknown
  3.4s|     1 |     0 |  5127 |     - |   720M |   0 | 223 |1431 |1465 |  37 | 19 |  11 |   0 | 1.186987e+06 | 5.161647e+05 | 129.96%| unknown
  3.4s|     1 |     0 |  5233 |     - |   720M |   0 | 223 |1431 |1467 |  39 | 20 |  11 |   0 | 1.181135e+06 | 5.161647e+05 | 128.83%| unknown
  3.4s|     1 |     0 |  5362 |     - |   720M |   0 | 223 |1431 |1471 |  43 | 21 |  11 |   0 | 1.173432e+06 | 5.161647e+05 | 127.34%| unknown
  3.4s|     1 |     0 |  5504 |     - |   720M |   0 | 223 |1431 |1474 |  46 | 22 |  11 |   0 | 1.164193e+06 | 5.161647e+05 | 125.55%| unknown
  3.5s|     1 |     0 |  5611 |     - |   720M |   0 | 223 |1432 |1475 |  47 | 23 |  12 |   0 | 1.160931e+06 | 5.161647e+05 | 124.91%| unknown
  3.5s|     1 |     0 |  5724 |     - |   720M |   0 | 223 |1432 |1477 |  49 | 24 |  13 |   0 | 1.157661e+06 | 5.161647e+05 | 124.28%| unknown
  3.5s|     1 |     0 |  5841 |     - |   720M |   0 | 223 |1432 |1480 |  52 | 25 |  13 |   0 | 1.153275e+06 | 5.161647e+05 | 123.43%| unknown
  3.5s|     1 |     0 |  5935 |     - |   720M |   0 | 223 |1432 |1482 |  54 | 26 |  13 |   0 | 1.150201e+06 | 5.161647e+05 | 122.84%| unknown
  3.5s|     1 |     0 |  6041 |     - |   720M |   0 | 223 |1432 |1485 |  57 | 27 |  13 |   0 | 1.146965e+06 | 5.161647e+05 | 122.21%| unknown
  3.6s|     1 |     0 |  6155 |     - |   720M |   0 | 223 |1433 |1487 |  59 | 28 |  14 |   0 | 1.142580e+06 | 5.161647e+05 | 121.36%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.6s|     1 |     0 |  6249 |     - |   720M |   0 | 223 |1434 |1489 |  61 | 29 |  15 |   0 | 1.139222e+06 | 5.161647e+05 | 120.71%| unknown
  3.6s|     1 |     0 |  6334 |     - |   720M |   0 | 223 |1434 |1490 |  62 | 30 |  15 |   0 | 1.137008e+06 | 5.161647e+05 | 120.28%| unknown
  3.6s|     1 |     0 |  6441 |     - |   720M |   0 | 223 |1434 |1493 |  65 | 31 |  15 |   0 | 1.131655e+06 | 5.161647e+05 | 119.24%| unknown
  3.6s|     1 |     0 |  6596 |     - |   720M |   0 | 223 |1434 |1495 |  67 | 32 |  15 |   0 | 1.125281e+06 | 5.161647e+05 | 118.01%| unknown
  3.7s|     1 |     0 |  6628 |     - |   720M |   0 | 223 |1434 |1496 |  68 | 33 |  16 |   0 | 1.124659e+06 | 5.161647e+05 | 117.89%| unknown
  3.7s|     1 |     0 |  6746 |     - |   720M |   0 | 223 |1434 |1497 |  71 | 34 |  16 |   0 | 1.122382e+06 | 5.161647e+05 | 117.45%| unknown
  3.7s|     1 |     0 |  6892 |     - |   720M |   0 | 223 |1435 |1500 |  74 | 35 |  17 |   0 | 1.119586e+06 | 5.161647e+05 | 116.90%| unknown
  3.7s|     1 |     0 |  6998 |     - |   720M |   0 | 223 |1436 |1503 |  77 | 36 |  18 |   0 | 1.115006e+06 | 5.161647e+05 | 116.02%| unknown
  3.7s|     1 |     0 |  7077 |     - |   720M |   0 | 223 |1436 |1505 |  79 | 37 |  19 |   0 | 1.112407e+06 | 5.161647e+05 | 115.51%| unknown
  3.8s|     1 |     0 |  7106 |     - |   720M |   0 | 223 |1436 |1506 |  80 | 38 |  19 |   0 | 1.111976e+06 | 5.161647e+05 | 115.43%| unknown
  3.8s|     1 |     0 |  7186 |     - |   720M |   0 | 223 |1436 |1511 |  85 | 39 |  20 |   0 | 1.109904e+06 | 5.161647e+05 | 115.03%| unknown
  3.8s|     1 |     0 |  7254 |     - |   720M |   0 | 223 |1436 |1512 |  87 | 40 |  21 |   0 | 1.108603e+06 | 5.161647e+05 | 114.78%| unknown
  3.8s|     1 |     0 |  7322 |     - |   720M |   0 | 223 |1436 |1516 |  91 | 41 |  22 |   0 | 1.106825e+06 | 5.161647e+05 | 114.43%| unknown
  3.8s|     1 |     0 |  7423 |     - |   720M |   0 | 223 |1436 |1521 |  96 | 42 |  22 |   0 | 1.104058e+06 | 5.161647e+05 | 113.90%| unknown
  3.9s|     1 |     0 |  7541 |     - |   720M |   0 | 223 |1436 |1523 |  98 | 43 |  22 |   0 | 1.101195e+06 | 5.161647e+05 | 113.34%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.9s|     1 |     0 |  7650 |     - |   720M |   0 | 223 |1436 |1527 | 102 | 44 |  22 |   0 | 1.097662e+06 | 5.161647e+05 | 112.66%| unknown
  3.9s|     1 |     0 |  7734 |     - |   720M |   0 | 223 |1436 |1530 | 105 | 45 |  22 |   0 | 1.094987e+06 | 5.161647e+05 | 112.14%| unknown
  3.9s|     1 |     0 |  7829 |     - |   720M |   0 | 223 |1436 |1531 | 108 | 46 |  23 |   0 | 1.092364e+06 | 5.161647e+05 | 111.63%| unknown
  4.0s|     1 |     0 |  7913 |     - |   720M |   0 | 223 |1436 |1532 | 109 | 47 |  23 |   0 | 1.090936e+06 | 5.161647e+05 | 111.35%| unknown
  4.0s|     1 |     0 |  7995 |     - |   720M |   0 | 223 |1436 |1535 | 112 | 48 |  24 |   0 | 1.089111e+06 | 5.161647e+05 | 111.00%| unknown
  4.0s|     1 |     0 |  8068 |     - |   720M |   0 | 223 |1436 |1538 | 115 | 49 |  24 |   0 | 1.087529e+06 | 5.161647e+05 | 110.69%| unknown
  4.0s|     1 |     0 |  8170 |     - |   720M |   0 | 223 |1437 |1542 | 119 | 50 |  25 |   0 | 1.084055e+06 | 5.161647e+05 | 110.02%| unknown
  4.0s|     1 |     0 |  8296 |     - |   720M |   0 | 223 |1437 |1546 | 123 | 51 |  25 |   0 | 1.081949e+06 | 5.161647e+05 | 109.61%| unknown
  4.1s|     1 |     0 |  8412 |     - |   720M |   0 | 223 |1438 |1548 | 126 | 52 |  26 |   0 | 1.078589e+06 | 5.161647e+05 | 108.96%| unknown
  4.1s|     1 |     0 |  8457 |     - |   720M |   0 | 223 |1438 |1552 | 130 | 53 |  26 |   0 | 1.077737e+06 | 5.161647e+05 | 108.80%| unknown
  4.1s|     1 |     0 |  8526 |     - |   720M |   0 | 223 |1438 |1555 | 133 | 54 |  26 |   0 | 1.075610e+06 | 5.161647e+05 | 108.39%| unknown
  4.1s|     1 |     0 |  8606 |     - |   720M |   0 | 223 |1438 |1558 | 136 | 55 |  26 |   0 | 1.073961e+06 | 5.161647e+05 | 108.07%| unknown
  4.1s|     1 |     0 |  8680 |     - |   720M |   0 | 223 |1438 |1561 | 139 | 56 |  26 |   0 | 1.072093e+06 | 5.161647e+05 | 107.70%| unknown
  4.2s|     1 |     0 |  8800 |     - |   720M |   0 | 223 |1438 |1563 | 141 | 57 |  26 |   0 | 1.068661e+06 | 5.161647e+05 | 107.04%| unknown
  4.2s|     1 |     0 |  8844 |     - |   720M |   0 | 223 |1439 |1562 | 143 | 58 |  27 |   0 | 1.067480e+06 | 5.161647e+05 | 106.81%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
