presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 5530 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (0.1s) running MILP presolver
   (0.1s) MILP presolver found nothing
   (0.1s) probing: 51/158 (32.3%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.1s) probing aborted: 50/50 successive totally useless probings
   (0.1s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.1s) no symmetry present
presolving (2 rounds: 2 fast, 1 medium, 1 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 5530 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 5688 variables (158 bin, 0 int, 0 impl, 5530 cont) and 788 constraints
    788 constraints of type <linear>
Presolving Time: 0.09

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.1s|     1 |     0 |   229 |     - |   locks|   0 |5688 | 788 | 788 |   0 |  0 |   0 |   0 | 0.000000e+00 | 3.266417e+06 |    Inf | unknown
i 0.1s|     1 |     0 |   229 |     - |  oneopt|   0 |5688 | 788 | 788 |   0 |  0 |   0 |   0 | 0.000000e+00 | 1.555842e+06 |    Inf | unknown
  0.1s|     1 |     0 |   635 |     - |    45M |   0 |5688 | 788 | 788 |   0 |  0 |   0 |   0 | 9.799111e+05 | 1.555842e+06 |  58.77%| unknown
r 0.2s|     1 |     0 |   635 |     - |simplero|   0 |5688 | 788 | 788 |   0 |  0 |   0 |   0 | 9.799111e+05 | 1.423132e+06 |  45.23%| unknown
  0.2s|     1 |     0 |   789 |     - |    47M |   0 |5688 | 788 | 818 |  30 |  1 |   0 |   0 | 1.107765e+06 | 1.423132e+06 |  28.47%| unknown
  0.3s|     1 |     0 |   876 |     - |    48M |   0 |5688 | 788 | 841 |  53 |  2 |   0 |   0 | 1.152743e+06 | 1.423132e+06 |  23.46%| unknown
  0.3s|     1 |     0 |   933 |     - |    49M |   0 |5688 | 788 | 852 |  64 |  3 |   0 |   0 | 1.170012e+06 | 1.423132e+06 |  21.63%| unknown
  0.4s|     1 |     0 |  1063 |     - |    49M |   0 |5688 | 788 | 889 | 101 |  4 |   0 |   0 | 1.195431e+06 | 1.423132e+06 |  19.05%| unknown
  0.5s|     1 |     0 |  1149 |     - |    51M |   0 |5688 | 788 | 915 | 127 |  5 |   0 |   0 | 1.209350e+06 | 1.423132e+06 |  17.68%| unknown
  0.6s|     1 |     0 |  1432 |     - |    52M |   0 |5688 | 788 | 929 | 141 |  6 |   0 |   0 | 1.226079e+06 | 1.423132e+06 |  16.07%| unknown
  0.7s|     1 |     0 |  1514 |     - |    52M |   0 |5688 | 788 | 940 | 152 |  7 |   0 |   0 | 1.230653e+06 | 1.423132e+06 |  15.64%| unknown
  0.8s|     1 |     0 |  1595 |     - |    52M |   0 |5688 | 788 | 967 | 179 |  8 |   0 |   0 | 1.237274e+06 | 1.423132e+06 |  15.02%| unknown
  0.9s|     1 |     0 |  1693 |     - |    52M |   0 |5688 | 788 | 990 | 202 |  9 |   0 |   0 | 1.243661e+06 | 1.423132e+06 |  14.43%| unknown
  1.0s|     1 |     0 |  1793 |     - |    53M |   0 |5688 | 788 |1002 | 214 | 10 |   0 |   0 | 1.246913e+06 | 1.423132e+06 |  14.13%| unknown
  1.1s|     1 |     0 |  1840 |     - |    53M |   0 |5688 | 788 |1015 | 227 | 11 |   0 |   0 | 1.248720e+06 | 1.423132e+06 |  13.97%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.2s|     1 |     0 |  1928 |     - |    53M |   0 |5688 | 788 |1035 | 247 | 12 |   0 |   0 | 1.251955e+06 | 1.423132e+06 |  13.67%| unknown
  1.4s|     1 |     0 |  2014 |     - |    54M |   0 |5688 | 788 |1046 | 258 | 13 |   0 |   0 | 1.254663e+06 | 1.423132e+06 |  13.43%| unknown
  1.5s|     1 |     0 |  2130 |     - |    54M |   0 |5688 | 788 |1063 | 275 | 14 |   0 |   0 | 1.256871e+06 | 1.423132e+06 |  13.23%| unknown
  1.6s|     1 |     0 |  2213 |     - |    55M |   0 |5688 | 788 |1072 | 284 | 15 |   0 |   0 | 1.257639e+06 | 1.423132e+06 |  13.16%| unknown
  1.8s|     1 |     0 |  2387 |     - |    55M |   0 |5688 | 788 |1060 | 303 | 16 |   0 |   0 | 1.259004e+06 | 1.423132e+06 |  13.04%| unknown
  2.0s|     1 |     0 |  2514 |     - |    55M |   0 |5688 | 788 |1076 | 319 | 17 |   0 |   0 | 1.259612e+06 | 1.423132e+06 |  12.98%| unknown
  2.1s|     1 |     0 |  2630 |     - |    55M |   0 |5688 | 788 |1089 | 332 | 18 |   0 |   0 | 1.260585e+06 | 1.423132e+06 |  12.89%| unknown
  2.3s|     1 |     0 |  2818 |     - |    56M |   0 |5688 | 788 |1098 | 341 | 19 |   0 |   0 | 1.261622e+06 | 1.423132e+06 |  12.80%| unknown
  2.4s|     1 |     0 |  2921 |     - |    56M |   0 |5688 | 788 |1110 | 353 | 20 |   0 |   0 | 1.262445e+06 | 1.423132e+06 |  12.73%| unknown
  2.6s|     1 |     0 |  3000 |     - |    56M |   0 |5688 | 788 |1118 | 361 | 21 |   0 |   0 | 1.262692e+06 | 1.423132e+06 |  12.71%| unknown
  2.8s|     1 |     0 |  3126 |     - |    56M |   0 |5688 | 788 |1082 | 378 | 22 |   0 |   0 | 1.262979e+06 | 1.423132e+06 |  12.68%| unknown
  3.0s|     1 |     0 |  3229 |     - |    56M |   0 |5688 | 788 |1089 | 385 | 23 |   0 |   0 | 1.263285e+06 | 1.423132e+06 |  12.65%| unknown
  3.1s|     1 |     0 |  3285 |     - |    56M |   0 |5688 | 788 |1098 | 394 | 24 |   0 |   0 | 1.263410e+06 | 1.423132e+06 |  12.64%| unknown
  3.3s|     1 |     0 |  3385 |     - |    56M |   0 |5688 | 788 |1111 | 407 | 25 |   0 |   0 | 1.263739e+06 | 1.423132e+06 |  12.61%| unknown
  3.4s|     1 |     0 |  3454 |     - |    56M |   0 |5688 | 788 |1121 | 417 | 26 |   0 |   0 | 1.263916e+06 | 1.423132e+06 |  12.60%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.5s|     1 |     0 |  3496 |     - |    56M |   0 |5688 | 788 |1126 | 422 | 27 |   0 |   0 | 1.263960e+06 | 1.423132e+06 |  12.59%| unknown
  3.7s|     1 |     0 |  3568 |     - |    56M |   0 |5688 | 788 |1087 | 427 | 28 |   0 |   0 | 1.264067e+06 | 1.423132e+06 |  12.58%| unknown
  3.8s|     1 |     0 |  3597 |     - |    58M |   0 |5688 | 788 |1091 | 431 | 29 |   0 |   0 | 1.264092e+06 | 1.423132e+06 |  12.58%| unknown
  3.9s|     1 |     0 |  3643 |     - |    58M |   0 |5688 | 788 |1095 | 435 | 30 |   0 |   0 | 1.264120e+06 | 1.423132e+06 |  12.58%| unknown
  4.0s|     1 |     0 |  3691 |     - |    58M |   0 |5688 | 788 |1101 | 441 | 31 |   0 |   0 | 1.264157e+06 | 1.423132e+06 |  12.58%| unknown
  4.1s|     1 |     0 |  3730 |     - |    58M |   0 |5688 | 788 |1106 | 446 | 32 |   0 |   0 | 1.264221e+06 | 1.423132e+06 |  12.57%| unknown
  4.2s|     1 |     0 |  3772 |     - |    58M |   0 |5688 | 788 |1113 | 453 | 33 |   0 |   0 | 1.264247e+06 | 1.423132e+06 |  12.57%| unknown
  4.3s|     1 |     0 |  3820 |     - |    58M |   0 |5688 | 788 |1076 | 466 | 34 |   0 |   0 | 1.264264e+06 | 1.423132e+06 |  12.57%| unknown
  4.4s|     1 |     0 |  3864 |     - |    58M |   0 |5688 | 788 |1081 | 471 | 35 |   0 |   0 | 1.264304e+06 | 1.423132e+06 |  12.56%| unknown
  4.6s|     1 |     0 |  3897 |     - |    58M |   0 |5688 | 788 |1087 | 477 | 36 |   0 |   0 | 1.264322e+06 | 1.423132e+06 |  12.56%| unknown
  4.7s|     1 |     0 |  3933 |     - |    58M |   0 |5688 | 788 |1089 | 479 | 37 |   0 |   0 | 1.264330e+06 | 1.423132e+06 |  12.56%| unknown
r 5.2s|     1 |     0 |  6141 |     - |intshift|   0 |5688 | 788 |1089 | 479 | 37 |   0 |   0 | 1.264330e+06 | 1.413546e+06 |  11.80%| unknown
d 6.0s|     1 |     0 |  8197 |     - |farkasdi|   0 |5688 | 788 |1089 |   0 | 37 |   0 |   0 | 1.264330e+06 | 1.412013e+06 |  11.68%| unknown
d 6.0s|     1 |     0 |  8202 |     - |farkasdi|   0 |5688 | 788 |1089 |   0 | 37 |   0 |   0 | 1.264330e+06 | 1.378423e+06 |   9.02%| unknown
d 6.0s|     1 |     0 |  8210 |     - |farkasdi|   0 |5688 | 788 |1089 |   0 | 37 |   0 |   0 | 1.264330e+06 | 1.375901e+06 |   8.82%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
d 6.0s|     1 |     0 |  8231 |     - |farkasdi|   0 |5688 | 788 |1089 |   0 | 37 |   0 |   0 | 1.264330e+06 | 1.359453e+06 |   7.52%| unknown
L 6.5s|     1 |     0 |  9171 |     - |    alns|   0 |5688 | 788 |1089 | 479 | 37 |   0 |   0 | 1.264330e+06 | 1.336322e+06 |   5.69%| unknown
L 6.5s|     1 |     0 |  9171 |     - |    alns|   0 |5688 | 788 |1089 | 479 | 37 |   0 |   0 | 1.264330e+06 | 1.334992e+06 |   5.59%| unknown
