presolving:
(round 1, fast)       63000 del vars, 63000 del conss, 0 add conss, 126000 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 2578 clqs
   (1.5s) running MILP presolver
   (1.9s) MILP presolver (2 rounds): 0 aggregations, 0 fixings, 0 bound changes
(round 2, medium)     63000 del vars, 67163 del conss, 3413 add conss, 126000 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 2578 clqs
(round 3, exhaustive) 63000 del vars, 67163 del conss, 3413 add conss, 126000 chg bounds, 0 chg sides, 0 chg coeffs, 2578 upgd conss, 0 impls, 2578 clqs
   (3.2s) probing: 51/157 (32.5%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (3.2s) probing aborted: 50/50 successive totally useless probings
   (3.2s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (3.4s) no symmetry present
presolving (4 rounds: 4 fast, 3 medium, 2 exhaustive):
 126000 deleted vars, 67997 deleted constraints, 3413 added constraints, 126000 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 2578 cliques
presolved problem has 157 variables (157 bin, 0 int, 0 impl, 0 cont) and 2579 constraints
   2578 constraints of type <setppc>
      1 constraints of type <linear>
Presolving Time: 5.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t 5.5s|     1 |     0 |     0 |     - | trivial|   0 | 157 |2579 |   0 |   0 |  0 |   0 |   0 |-2.205982e+04 |-2.220000e+04 |   0.64%| unknown
p 5.5s|     1 |     0 |     0 |     - |  clique|   0 | 157 |2579 |2579 |   0 |  0 |   0 |   0 |-2.205982e+04 |-2.218340e+04 |   0.56%| unknown
p 5.5s|     1 |     0 |     3 |     - | vbounds|   0 | 157 |2579 |2579 |   0 |  0 |   0 |   0 |-2.205982e+04 |-2.218294e+04 |   0.56%| unknown
  5.5s|     1 |     0 |   206 |     - |   618M |   0 | 157 |2579 |2579 |   0 |  0 |   0 |   0 |-2.216897e+04 |-2.218294e+04 |   0.06%| unknown
  5.6s|     1 |     0 |   245 |     - |   619M |   0 | 157 |2579 |2580 |   1 |  1 |   0 |   0 |-2.216971e+04 |-2.218294e+04 |   0.06%| unknown
  5.7s|     1 |     0 |   280 |     - |   619M |   0 | 157 |2579 |2582 |   3 |  2 |   0 |   0 |-2.217034e+04 |-2.218294e+04 |   0.06%| unknown
  5.7s|     1 |     0 |   320 |     - |   619M |   0 | 157 |2579 |2584 |   5 |  3 |   0 |   0 |-2.217117e+04 |-2.218294e+04 |   0.05%| unknown
  5.8s|     1 |     0 |   353 |     - |   620M |   0 | 157 |2579 |2591 |  12 |  4 |   0 |   0 |-2.217193e+04 |-2.218294e+04 |   0.05%| unknown
  5.8s|     1 |     0 |   409 |     - |   620M |   0 | 157 |2579 |2598 |  19 |  5 |   0 |   0 |-2.217255e+04 |-2.218294e+04 |   0.05%| unknown
  5.9s|     1 |     0 |   449 |     - |   620M |   0 | 157 |2579 |2601 |  22 |  6 |   0 |   0 |-2.217280e+04 |-2.218294e+04 |   0.05%| unknown
  6.0s|     1 |     0 |   506 |     - |   620M |   0 | 157 |2579 |2605 |  26 |  7 |   0 |   0 |-2.217315e+04 |-2.218294e+04 |   0.04%| unknown
  6.1s|     1 |     0 |   540 |     - |   621M |   0 | 157 |2579 |2611 |  32 |  8 |   0 |   0 |-2.217338e+04 |-2.218294e+04 |   0.04%| unknown
  6.2s|     1 |     0 |   603 |     - |   622M |   0 | 157 |2579 |2618 |  39 |  9 |   0 |   0 |-2.217363e+04 |-2.218294e+04 |   0.04%| unknown
  6.4s|     1 |     0 |   637 |     - |   622M |   0 | 157 |2579 |2623 |  44 | 10 |   0 |   0 |-2.217375e+04 |-2.218294e+04 |   0.04%| unknown
  6.4s|     1 |     0 |   684 |     - |   623M |   0 | 157 |2579 |2629 |  50 | 11 |   0 |   0 |-2.217391e+04 |-2.218294e+04 |   0.04%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  6.4s|     1 |     0 |   739 |     - |   623M |   0 | 157 |2579 |2635 |  56 | 12 |   0 |   0 |-2.217402e+04 |-2.218294e+04 |   0.04%| unknown
  6.4s|     1 |     0 |   782 |     - |   623M |   0 | 157 |2579 |2638 |  59 | 13 |   0 |   0 |-2.217415e+04 |-2.218294e+04 |   0.04%| unknown
  6.4s|     1 |     0 |   837 |     - |   623M |   0 | 157 |2579 |2643 |  64 | 14 |   0 |   0 |-2.217432e+04 |-2.218294e+04 |   0.04%| unknown
  6.4s|     1 |     0 |   881 |     - |   624M |   0 | 157 |2579 |2649 |  70 | 15 |   0 |   0 |-2.217448e+04 |-2.218294e+04 |   0.04%| unknown
  6.5s|     1 |     0 |   927 |     - |   624M |   0 | 157 |2579 |2654 |  75 | 16 |   0 |   0 |-2.217456e+04 |-2.218294e+04 |   0.04%| unknown
  6.5s|     1 |     0 |   941 |     - |   624M |   0 | 157 |2579 |2657 |  78 | 17 |   0 |   0 |-2.217460e+04 |-2.218294e+04 |   0.04%| unknown
  6.5s|     1 |     0 |   985 |     - |   624M |   0 | 157 |2579 |2663 |  84 | 18 |   0 |   0 |-2.217465e+04 |-2.218294e+04 |   0.04%| unknown
