feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       1908 del vars, 212 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 1802 clqs
(round 2, fast)       2014 del vars, 212 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 1802 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver found nothing
(round 3, exhaustive) 2014 del vars, 212 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 4374 upgd conss, 0 impls, 1802 clqs
   (0.1s) probing: 51/2678 (1.9%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.1s) probing aborted: 50/50 successive totally useless probings
   (0.1s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.1s) no symmetry present
presolving (4 rounds: 4 fast, 2 medium, 2 exhaustive):
 2014 deleted vars, 212 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 1802 cliques
presolved problem has 2678 variables (2678 bin, 0 int, 0 impl, 0 cont) and 4374 constraints
   1802 constraints of type <setppc>
   2572 constraints of type <logicor>
transformed objective value is always integral (scale: 0.00125)
Presolving Time: 0.09
transformed 1/2 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.1s|     1 |     0 |     0 |     - |   locks|   0 |2678 |4374 |4374 |   0 |  0 |   0 |   0 | 5.324000e+03 | 1.310000e+02 |3964.12%| unknown
  0.1s|     1 |     0 |   125 |     - |    32M |   0 |2678 |4374 |4374 |   0 |  0 |   0 |   0 | 2.662000e+03 | 1.310000e+02 |1932.06%| unknown
  0.2s|     1 |     0 |   179 |     - |    36M |   0 |2678 |4374 |4377 |   3 |  1 |   0 |   0 | 2.471000e+03 | 1.310000e+02 |1786.26%| unknown
  0.3s|     1 |     0 |   281 |     - |    36M |   0 |2678 |4374 |4381 |   7 |  2 |   0 |   0 | 2.272000e+03 | 1.310000e+02 |1634.35%| unknown
  0.3s|     1 |     0 |   321 |     - |    37M |   0 |2678 |4374 |4382 |   8 |  3 |   0 |   0 | 2.198500e+03 | 1.310000e+02 |1578.24%| unknown
  0.4s|     1 |     0 |   513 |     - |    37M |   0 |2678 |4374 |4394 |  20 |  4 |   0 |   0 | 1.998843e+03 | 1.310000e+02 |1425.83%| unknown
  0.6s|     1 |     0 |   644 |     - |    38M |   0 |2678 |4374 |4403 |  29 |  5 |   0 |   0 | 1.857861e+03 | 1.310000e+02 |1318.21%| unknown
  0.7s|     1 |     0 |   754 |     - |    38M |   0 |2678 |4374 |4409 |  35 |  6 |   0 |   0 | 1.748500e+03 | 1.310000e+02 |1234.73%| unknown
  0.8s|     1 |     0 |   915 |     - |    39M |   0 |2678 |4374 |4411 |  37 |  7 |   0 |   0 | 1.674922e+03 | 1.310000e+02 |1178.57%| unknown
  1.0s|     1 |     0 |  1002 |     - |    39M |   0 |2678 |4374 |4414 |  40 |  8 |   0 |   0 | 1.622463e+03 | 1.310000e+02 |1138.52%| unknown
  1.1s|     1 |     0 |  1045 |     - |    41M |   0 |2678 |4374 |4417 |  43 |  9 |   0 |   0 | 1.579500e+03 | 1.310000e+02 |1105.73%| unknown
  1.3s|     1 |     0 |  1227 |     - |    41M |   0 |2678 |4374 |4426 |  52 | 10 |   0 |   0 | 1.528306e+03 | 1.310000e+02 |1066.65%| unknown
  1.4s|     1 |     0 |  1496 |     - |    42M |   0 |2678 |4374 |4434 |  60 | 11 |   0 |   0 | 1.480460e+03 | 1.310000e+02 |1030.12%| unknown
  1.4s|     1 |     0 |  1624 |     - |    42M |   0 |2678 |4374 |4440 |  66 | 12 |   0 |   0 | 1.439973e+03 | 1.310000e+02 | 999.22%| unknown
  1.4s|     1 |     0 |  1870 |     - |    43M |   0 |2678 |4374 |4446 |  72 | 13 |   0 |   0 | 1.392063e+03 | 1.310000e+02 | 962.64%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.5s|     1 |     0 |  2094 |     - |    43M |   0 |2678 |4374 |4450 |  76 | 14 |   0 |   0 | 1.344625e+03 | 1.310000e+02 | 926.43%| unknown
  1.5s|     1 |     0 |  2332 |     - |    44M |   0 |2678 |4374 |4455 |  81 | 15 |   0 |   0 | 1.304824e+03 | 1.310000e+02 | 896.05%| unknown
  1.5s|     1 |     0 |  2396 |     - |    44M |   0 |2678 |4374 |4457 |  83 | 16 |   0 |   0 | 1.289662e+03 | 1.310000e+02 | 884.47%| unknown
  1.6s|     1 |     0 |  2614 |     - |    44M |   0 |2678 |4374 |4462 |  89 | 17 |   0 |   0 | 1.257399e+03 | 1.310000e+02 | 859.85%| unknown
  1.6s|     1 |     0 |  2826 |     - |    45M |   0 |2678 |4374 |4468 |  95 | 18 |   0 |   0 | 1.237960e+03 | 1.310000e+02 | 845.01%| unknown
  1.6s|     1 |     0 |  2929 |     - |    46M |   0 |2678 |4374 |4472 |  99 | 19 |   0 |   0 | 1.232290e+03 | 1.310000e+02 | 840.68%| unknown
  1.7s|     1 |     0 |  3023 |     - |    47M |   0 |2678 |4374 |4476 | 103 | 20 |   0 |   0 | 1.226070e+03 | 1.310000e+02 | 835.93%| unknown
  1.7s|     1 |     0 |  3176 |     - |    47M |   0 |2678 |4374 |4480 | 107 | 21 |   0 |   0 | 1.212106e+03 | 1.310000e+02 | 825.27%| unknown
  1.7s|     1 |     0 |  3323 |     - |    48M |   0 |2678 |4374 |4483 | 110 | 22 |   0 |   0 | 1.194522e+03 | 1.310000e+02 | 811.85%| unknown
  1.8s|     1 |     0 |  3477 |     - |    48M |   0 |2678 |4374 |4476 | 114 | 23 |   0 |   0 | 1.185069e+03 | 1.310000e+02 | 804.63%| unknown
  1.8s|     1 |     0 |  3607 |     - |    48M |   0 |2678 |4374 |4479 | 117 | 24 |   0 |   0 | 1.173765e+03 | 1.310000e+02 | 796.00%| unknown
  1.8s|     1 |     0 |  3668 |     - |    48M |   0 |2678 |4374 |4481 | 119 | 25 |   0 |   0 | 1.171964e+03 | 1.310000e+02 | 794.63%| unknown
  1.9s|     1 |     0 |  3786 |     - |    48M |   0 |2678 |4374 |4487 | 125 | 26 |   0 |   0 | 1.164038e+03 | 1.310000e+02 | 788.58%| unknown
  1.9s|     1 |     0 |  3857 |     - |    49M |   0 |2678 |4374 |4492 | 130 | 27 |   0 |   0 | 1.155251e+03 | 1.310000e+02 | 781.87%| unknown
  1.9s|     1 |     0 |  3899 |     - |    49M |   0 |2678 |4374 |4497 | 135 | 28 |   0 |   0 | 1.148203e+03 | 1.310000e+02 | 776.49%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.9s|     1 |     0 |  3941 |     - |    49M |   0 |2678 |4374 |4493 | 139 | 29 |   0 |   0 | 1.145052e+03 | 1.310000e+02 | 774.09%| unknown
  1.9s|     1 |     0 |  3972 |     - |    49M |   0 |2678 |4374 |4496 | 142 | 30 |   0 |   0 | 1.141906e+03 | 1.310000e+02 | 771.68%| unknown
  2.0s|     1 |     0 |  3990 |     - |    49M |   0 |2678 |4374 |4498 | 144 | 31 |   0 |   0 | 1.140401e+03 | 1.310000e+02 | 770.54%| unknown
  2.0s|     1 |     0 |  4024 |     - |    49M |   0 |2678 |4374 |4502 | 148 | 32 |   0 |   0 | 1.138084e+03 | 1.310000e+02 | 768.77%| unknown
  2.0s|     1 |     0 |  4045 |     - |    49M |   0 |2678 |4374 |4504 | 150 | 33 |   0 |   0 | 1.136650e+03 | 1.310000e+02 | 767.67%| unknown
  2.0s|     1 |     0 |  4069 |     - |    49M |   0 |2678 |4374 |4506 | 152 | 34 |   0 |   0 | 1.134864e+03 | 1.310000e+02 | 766.31%| unknown
  2.0s|     1 |     0 |  4110 |     - |    49M |   0 |2678 |4374 |4497 | 157 | 35 |   0 |   0 | 1.132868e+03 | 1.310000e+02 | 764.78%| unknown
  2.0s|     1 |     0 |  4147 |     - |    49M |   0 |2678 |4374 |4504 | 164 | 36 |   0 |   0 | 1.129751e+03 | 1.310000e+02 | 762.41%| unknown
  2.0s|     1 |     0 |  4190 |     - |    49M |   0 |2678 |4374 |4507 | 167 | 37 |   0 |   0 | 1.124088e+03 | 1.310000e+02 | 758.08%| unknown
  2.1s|     1 |     0 |  4231 |     - |    49M |   0 |2678 |4374 |4511 | 171 | 38 |   0 |   0 | 1.120426e+03 | 1.310000e+02 | 755.29%| unknown
  2.1s|     1 |     0 |  4269 |     - |    49M |   0 |2678 |4374 |4518 | 178 | 39 |   0 |   0 | 1.116833e+03 | 1.310000e+02 | 752.54%| unknown
  2.1s|     1 |     0 |  4297 |     - |    49M |   0 |2678 |4374 |4522 | 182 | 40 |   0 |   0 | 1.115245e+03 | 1.310000e+02 | 751.33%| unknown
  2.1s|     1 |     0 |  4328 |     - |    50M |   0 |2678 |4374 |4516 | 187 | 41 |   0 |   0 | 1.113907e+03 | 1.310000e+02 | 750.31%| unknown
  2.1s|     1 |     0 |  4353 |     - |    50M |   0 |2678 |4374 |4520 | 191 | 42 |   0 |   0 | 1.112900e+03 | 1.310000e+02 | 749.54%| unknown
  2.1s|     1 |     0 |  4367 |     - |    50M |   0 |2678 |4374 |4523 | 194 | 43 |   0 |   0 | 1.112007e+03 | 1.310000e+02 | 748.86%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  2.2s|     1 |     0 |  4376 |     - |    50M |   0 |2678 |4374 |4525 | 196 | 44 |   0 |   0 | 1.111461e+03 | 1.310000e+02 | 748.44%| unknown
  2.2s|     1 |     0 |  4398 |     - |    50M |   0 |2678 |4374 |4528 | 199 | 45 |   0 |   0 | 1.110986e+03 | 1.310000e+02 | 748.08%| unknown
  2.2s|     1 |     0 |  4424 |     - |    50M |   0 |2678 |4374 |4533 | 204 | 46 |   0 |   0 | 1.109763e+03 | 1.310000e+02 | 747.15%| unknown
  2.2s|     1 |     0 |  4457 |     - |    50M |   0 |2678 |4374 |4518 | 211 | 47 |   0 |   0 | 1.107941e+03 | 1.310000e+02 | 745.76%| unknown
  2.2s|     1 |     0 |  4489 |     - |    50M |   0 |2678 |4374 |4523 | 216 | 48 |   0 |   0 | 1.106482e+03 | 1.310000e+02 | 744.64%| unknown
  2.3s|     1 |     0 |  4516 |     - |    50M |   0 |2678 |4374 |4527 | 220 | 49 |   0 |   0 | 1.105611e+03 | 1.310000e+02 | 743.98%| unknown
  2.3s|     1 |     0 |  4536 |     - |    50M |   0 |2678 |4374 |4531 | 224 | 50 |   0 |   0 | 1.104475e+03 | 1.310000e+02 | 743.11%| unknown
  2.3s|     1 |     0 |  4568 |     - |    50M |   0 |2678 |4374 |4534 | 227 | 51 |   0 |   0 | 1.103694e+03 | 1.310000e+02 | 742.51%| unknown
