presolving:
(round 1, fast)       8795 del vars, 10500 del conss, 0 add conss, 6995 chg bounds, 4091 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 2, fast)       14384 del vars, 10501 del conss, 0 add conss, 7309 chg bounds, 4093 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 3, fast)       14678 del vars, 10502 del conss, 0 add conss, 7603 chg bounds, 4095 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 4, fast)       15288 del vars, 10504 del conss, 0 add conss, 8212 chg bounds, 4095 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 5, fast)       15597 del vars, 10505 del conss, 0 add conss, 8521 chg bounds, 4096 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 6, fast)       15902 del vars, 10506 del conss, 0 add conss, 8825 chg bounds, 4098 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 7, fast)       16196 del vars, 10507 del conss, 0 add conss, 9118 chg bounds, 4099 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 8, fast)       16808 del vars, 10509 del conss, 0 add conss, 9729 chg bounds, 4100 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 9, fast)       17708 del vars, 10512 del conss, 0 add conss, 10628 chg bounds, 4100 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 10, fast)       18019 del vars, 10513 del conss, 0 add conss, 10939 chg bounds, 4101 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 11, fast)       18316 del vars, 10514 del conss, 0 add conss, 11235 chg bounds, 4103 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 12, fast)       18617 del vars, 10515 del conss, 0 add conss, 11535 chg bounds, 4104 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 13, fast)       19221 del vars, 10517 del conss, 0 add conss, 12139 chg bounds, 4104 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 14, fast)       19525 del vars, 10518 del conss, 0 add conss, 12443 chg bounds, 4104 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 15, fast)       19818 del vars, 10519 del conss, 0 add conss, 12736 chg bounds, 4105 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 16, fast)       20110 del vars, 10520 del conss, 0 add conss, 13027 chg bounds, 4105 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 17, fast)       20397 del vars, 10521 del conss, 0 add conss, 13314 chg bounds, 4107 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 18, fast)       20998 del vars, 10523 del conss, 0 add conss, 13915 chg bounds, 4107 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 19, fast)       21282 del vars, 10524 del conss, 0 add conss, 14199 chg bounds, 4109 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 20, fast)       21857 del vars, 10526 del conss, 0 add conss, 14773 chg bounds, 4110 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 21, fast)       22152 del vars, 10527 del conss, 0 add conss, 15067 chg bounds, 4112 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 22, fast)       22705 del vars, 10529 del conss, 0 add conss, 15619 chg bounds, 4112 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 23, fast)       23296 del vars, 10531 del conss, 0 add conss, 16210 chg bounds, 4112 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 24, fast)       23583 del vars, 10532 del conss, 0 add conss, 16497 chg bounds, 4113 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 25, fast)       23872 del vars, 10533 del conss, 0 add conss, 16785 chg bounds, 4113 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 26, fast)       24444 del vars, 10535 del conss, 0 add conss, 17357 chg bounds, 4114 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 27, fast)       24725 del vars, 10536 del conss, 0 add conss, 17637 chg bounds, 4115 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 28, fast)       25017 del vars, 10537 del conss, 0 add conss, 17928 chg bounds, 4115 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 29, fast)       25287 del vars, 10538 del conss, 0 add conss, 18198 chg bounds, 4118 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 30, fast)       25583 del vars, 10539 del conss, 0 add conss, 18491 chg bounds, 4118 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 31, fast)       26138 del vars, 10541 del conss, 0 add conss, 19046 chg bounds, 4118 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 32, fast)       26707 del vars, 10543 del conss, 0 add conss, 19615 chg bounds, 4119 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 33, fast)       26993 del vars, 10544 del conss, 0 add conss, 19901 chg bounds, 4122 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 34, fast)       27279 del vars, 10545 del conss, 0 add conss, 20185 chg bounds, 4123 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 35, fast)       27554 del vars, 10546 del conss, 0 add conss, 20459 chg bounds, 4123 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 36, fast)       27829 del vars, 10547 del conss, 0 add conss, 20734 chg bounds, 4123 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 37, fast)       28120 del vars, 10548 del conss, 0 add conss, 21025 chg bounds, 4125 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 38, fast)       28390 del vars, 10549 del conss, 0 add conss, 21294 chg bounds, 4125 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 39, fast)       28926 del vars, 10551 del conss, 0 add conss, 21830 chg bounds, 4125 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 40, fast)       29190 del vars, 10552 del conss, 0 add conss, 22094 chg bounds, 4126 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 41, fast)       29469 del vars, 10553 del conss, 0 add conss, 22373 chg bounds, 4126 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 42, fast)       29741 del vars, 10554 del conss, 0 add conss, 22645 chg bounds, 4129 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 43, fast)       30274 del vars, 10556 del conss, 0 add conss, 23176 chg bounds, 4130 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 44, fast)       30813 del vars, 10558 del conss, 0 add conss, 23714 chg bounds, 4130 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 45, fast)       31330 del vars, 10560 del conss, 0 add conss, 24231 chg bounds, 4132 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 46, fast)       31853 del vars, 10562 del conss, 0 add conss, 24753 chg bounds, 4132 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 47, fast)       32121 del vars, 10563 del conss, 0 add conss, 25021 chg bounds, 4133 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 48, fast)       32381 del vars, 10564 del conss, 0 add conss, 25280 chg bounds, 4134 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 49, fast)       32640 del vars, 10565 del conss, 0 add conss, 25538 chg bounds, 4135 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 50, fast)       32895 del vars, 10566 del conss, 0 add conss, 25793 chg bounds, 4135 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 51, fast)       33148 del vars, 10567 del conss, 0 add conss, 26046 chg bounds, 4137 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 52, fast)       33408 del vars, 10568 del conss, 0 add conss, 26305 chg bounds, 4137 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 53, fast)       33920 del vars, 10570 del conss, 0 add conss, 26817 chg bounds, 4138 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 54, fast)       34180 del vars, 10571 del conss, 0 add conss, 27076 chg bounds, 4138 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 55, fast)       34431 del vars, 10572 del conss, 0 add conss, 27327 chg bounds, 4139 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 56, fast)       34955 del vars, 10574 del conss, 0 add conss, 27850 chg bounds, 4139 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 57, fast)       35218 del vars, 10575 del conss, 0 add conss, 28113 chg bounds, 4141 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 58, fast)       35734 del vars, 10577 del conss, 0 add conss, 28627 chg bounds, 4141 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 59, fast)       35988 del vars, 10578 del conss, 0 add conss, 28881 chg bounds, 4142 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 60, fast)       36488 del vars, 10580 del conss, 0 add conss, 29380 chg bounds, 4143 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 61, fast)       36736 del vars, 10581 del conss, 0 add conss, 29627 chg bounds, 4143 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 62, fast)       36986 del vars, 10582 del conss, 0 add conss, 29877 chg bounds, 4144 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 63, fast)       37222 del vars, 10583 del conss, 0 add conss, 30113 chg bounds, 4145 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 64, fast)       37464 del vars, 10584 del conss, 0 add conss, 30354 chg bounds, 4145 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 65, fast)       37965 del vars, 10586 del conss, 0 add conss, 30855 chg bounds, 4145 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 66, fast)       38463 del vars, 10588 del conss, 0 add conss, 31353 chg bounds, 4145 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 67, fast)       38701 del vars, 10589 del conss, 0 add conss, 31591 chg bounds, 4146 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 68, fast)       38935 del vars, 10590 del conss, 0 add conss, 31824 chg bounds, 4146 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 69, fast)       39176 del vars, 10591 del conss, 0 add conss, 32065 chg bounds, 4147 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 70, fast)       39413 del vars, 10592 del conss, 0 add conss, 32302 chg bounds, 4147 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 71, fast)       39895 del vars, 10594 del conss, 0 add conss, 32784 chg bounds, 4147 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 72, fast)       40141 del vars, 10595 del conss, 0 add conss, 33030 chg bounds, 4148 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 73, fast)       40377 del vars, 10596 del conss, 0 add conss, 33265 chg bounds, 4149 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 74, fast)       40639 del vars, 10597 del conss, 0 add conss, 33526 chg bounds, 4149 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 75, fast)       41368 del vars, 10600 del conss, 0 add conss, 34255 chg bounds, 4149 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 76, fast)       41591 del vars, 10601 del conss, 0 add conss, 34478 chg bounds, 4149 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 77, fast)       42053 del vars, 10603 del conss, 0 add conss, 34940 chg bounds, 4149 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 78, fast)       42290 del vars, 10604 del conss, 0 add conss, 35177 chg bounds, 4151 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 79, fast)       42514 del vars, 10605 del conss, 0 add conss, 35400 chg bounds, 4152 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 80, fast)       42979 del vars, 10607 del conss, 0 add conss, 35864 chg bounds, 4152 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 81, fast)       43201 del vars, 10608 del conss, 0 add conss, 36086 chg bounds, 4153 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 82, fast)       43889 del vars, 10611 del conss, 0 add conss, 36773 chg bounds, 4153 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 83, fast)       44342 del vars, 10613 del conss, 0 add conss, 37226 chg bounds, 4153 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 84, fast)       44788 del vars, 10615 del conss, 0 add conss, 37672 chg bounds, 4154 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 85, fast)       45235 del vars, 10617 del conss, 0 add conss, 38118 chg bounds, 4155 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 86, fast)       45437 del vars, 10618 del conss, 0 add conss, 38320 chg bounds, 4156 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 87, fast)       45677 del vars, 10619 del conss, 0 add conss, 38559 chg bounds, 4157 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 88, fast)       45899 del vars, 10620 del conss, 0 add conss, 38780 chg bounds, 4158 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 89, fast)       46326 del vars, 10622 del conss, 0 add conss, 39207 chg bounds, 4158 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 90, fast)       46766 del vars, 10624 del conss, 0 add conss, 39647 chg bounds, 4159 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 91, fast)       46983 del vars, 10625 del conss, 0 add conss, 39864 chg bounds, 4161 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 92, fast)       47414 del vars, 10627 del conss, 0 add conss, 40293 chg bounds, 4161 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 93, fast)       47627 del vars, 10628 del conss, 0 add conss, 40506 chg bounds, 4163 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 94, fast)       48502 del vars, 10632 del conss, 0 add conss, 41379 chg bounds, 4163 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 95, fast)       48720 del vars, 10633 del conss, 0 add conss, 41597 chg bounds, 4165 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 96, fast)       49135 del vars, 10635 del conss, 0 add conss, 42011 chg bounds, 4165 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 97, fast)       49551 del vars, 10637 del conss, 0 add conss, 42427 chg bounds, 4166 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 98, fast)       49953 del vars, 10639 del conss, 0 add conss, 42828 chg bounds, 4167 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 99, fast)       50156 del vars, 10640 del conss, 0 add conss, 43031 chg bounds, 4169 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 100, fast)       50572 del vars, 10642 del conss, 0 add conss, 43445 chg bounds, 4169 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
