feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       12 del vars, 753 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 1035 clqs
(round 2, fast)       387 del vars, 1503 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 660 clqs
   (0.0s) running MILP presolver
   (0.0s) MILP presolver found nothing
(round 3, exhaustive) 387 del vars, 1525 del conss, 0 add conss, 0 chg bounds, 22 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 660 clqs
(round 4, exhaustive) 387 del vars, 1525 del conss, 0 add conss, 0 chg bounds, 22 chg sides, 0 chg coeffs, 638 upgd conss, 0 impls, 660 clqs
   (0.1s) probing: 51/375 (13.6%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.1s) probing aborted: 50/50 successive totally useless probings
   (0.1s) symmetry computation started: requiring (bin +, int -, cont +), (fixed: bin -, int +, cont -)
   (0.1s) no symmetry present
presolving (5 rounds: 5 fast, 3 medium, 3 exhaustive):
 387 deleted vars, 1525 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 22 changed sides, 0 changed coefficients
 0 implications, 660 cliques
presolved problem has 375 variables (375 bin, 0 int, 0 impl, 0 cont) and 639 constraints
    638 constraints of type <setppc>
      1 constraints of type <linear>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.07
transformed 1/2 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
p 0.1s|     1 |     0 |     0 |     - |  clique|   0 | 375 | 639 | 639 |   0 |  0 |   0 |   0 | 1.878800e+05 | 5.098000e+03 |3585.37%| unknown
  0.4s|     1 |     0 |  2725 |     - |    19M |   0 | 375 | 639 | 639 |   0 |  0 |   0 |   0 | 1.483393e+04 | 5.098000e+03 | 190.98%| unknown
  0.5s|     1 |     0 |  2887 |     - |    22M |   0 | 375 | 639 | 641 |   2 |  1 |   0 |   0 | 1.467714e+04 | 5.098000e+03 | 187.90%| unknown
  0.5s|     1 |     0 |  3042 |     - |    24M |   0 | 375 | 639 | 643 |   4 |  2 |   0 |   0 | 1.455996e+04 | 5.098000e+03 | 185.60%| unknown
  0.6s|     1 |     0 |  3251 |     - |    26M |   0 | 375 | 639 | 647 |   8 |  3 |   0 |   0 | 1.438977e+04 | 5.098000e+03 | 182.26%| unknown
  0.7s|     1 |     0 |  3371 |     - |    28M |   0 | 375 | 639 | 651 |  12 |  4 |   0 |   0 | 1.432218e+04 | 5.098000e+03 | 180.94%| unknown
r 0.7s|     1 |     0 |  3371 |     - |randroun|   0 | 375 | 639 | 651 |   0 |  4 |   0 |   0 | 1.432218e+04 | 5.385000e+03 | 165.96%| unknown
  0.8s|     1 |     0 |  3561 |     - |    31M |   0 | 375 | 639 | 655 |  16 |  5 |   0 |   0 | 1.416833e+04 | 5.385000e+03 | 163.11%| unknown
i 0.8s|     1 |     0 |  3561 |     - |  oneopt|   0 | 375 | 639 | 655 |  16 |  5 |   0 |   0 | 1.416833e+04 | 7.186000e+03 |  97.17%| unknown
  0.9s|     1 |     0 |  3627 |     - |    32M |   0 | 375 | 639 | 659 |  20 |  6 |   0 |   0 | 1.412992e+04 | 7.186000e+03 |  96.63%| unknown
  1.0s|     1 |     0 |  3786 |     - |    34M |   0 | 375 | 639 | 663 |  24 |  7 |   0 |   0 | 1.403784e+04 | 7.186000e+03 |  95.35%| unknown
  1.1s|     1 |     0 |  3970 |     - |    36M |   0 | 375 | 639 | 669 |  30 |  8 |   0 |   0 | 1.392310e+04 | 7.186000e+03 |  93.75%| unknown
  1.2s|     1 |     0 |  4153 |     - |    38M |   0 | 375 | 639 | 672 |  33 |  9 |   0 |   0 | 1.383181e+04 | 7.186000e+03 |  92.48%| unknown
  1.3s|     1 |     0 |  4315 |     - |    41M |   0 | 375 | 639 | 676 |  37 | 10 |   0 |   0 | 1.376407e+04 | 7.186000e+03 |  91.54%| unknown
  1.3s|     1 |     0 |  4453 |     - |    41M |   0 | 375 | 639 | 681 |  42 | 11 |   0 |   0 | 1.369434e+04 | 7.186000e+03 |  90.57%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.4s|     1 |     0 |  4599 |     - |    41M |   0 | 375 | 639 | 684 |  45 | 12 |   0 |   0 | 1.364238e+04 | 7.186000e+03 |  89.85%| unknown
  1.4s|     1 |     0 |  4740 |     - |    41M |   0 | 375 | 639 | 688 |  49 | 13 |   0 |   0 | 1.359507e+04 | 7.186000e+03 |  89.19%| unknown
  1.5s|     1 |     0 |  4800 |     - |    41M |   0 | 375 | 639 | 689 |  50 | 14 |   0 |   0 | 1.358317e+04 | 7.186000e+03 |  89.02%| unknown
  1.5s|     1 |     0 |  4916 |     - |    42M |   0 | 375 | 639 | 694 |  55 | 15 |   0 |   0 | 1.354872e+04 | 7.186000e+03 |  88.54%| unknown
  1.6s|     1 |     0 |  4983 |     - |    42M |   0 | 375 | 639 | 697 |  58 | 16 |   0 |   0 | 1.353694e+04 | 7.186000e+03 |  88.38%| unknown
  1.6s|     1 |     0 |  5098 |     - |    42M |   0 | 375 | 639 | 700 |  61 | 17 |   0 |   0 | 1.350605e+04 | 7.186000e+03 |  87.95%| unknown
  1.7s|     1 |     0 |  5214 |     - |    42M |   0 | 375 | 639 | 702 |  63 | 18 |   0 |   0 | 1.347558e+04 | 7.186000e+03 |  87.53%| unknown
  1.7s|     1 |     0 |  5307 |     - |    42M |   0 | 375 | 639 | 706 |  67 | 19 |   0 |   0 | 1.345782e+04 | 7.186000e+03 |  87.28%| unknown
  1.8s|     1 |     0 |  5415 |     - |    42M |   0 | 375 | 639 | 711 |  72 | 20 |   0 |   0 | 1.344161e+04 | 7.186000e+03 |  87.05%| unknown
  1.8s|     1 |     0 |  5488 |     - |    42M |   0 | 375 | 639 | 716 |  77 | 21 |   0 |   0 | 1.343461e+04 | 7.186000e+03 |  86.96%| unknown
  1.9s|     1 |     0 |  5598 |     - |    42M |   0 | 375 | 639 | 719 |  82 | 22 |   0 |   0 | 1.341867e+04 | 7.186000e+03 |  86.73%| unknown
  1.9s|     1 |     0 |  5694 |     - |    42M |   0 | 375 | 639 | 724 |  87 | 23 |   0 |   0 | 1.340272e+04 | 7.186000e+03 |  86.51%| unknown
  2.0s|     1 |     0 |  5794 |     - |    42M |   0 | 375 | 639 | 728 |  91 | 24 |   0 |   0 | 1.338709e+04 | 7.186000e+03 |  86.29%| unknown
  2.1s|     1 |     0 |  5983 |     - |    42M |   0 | 375 | 639 | 734 |  97 | 25 |   0 |   0 | 1.335980e+04 | 7.186000e+03 |  85.91%| unknown
  2.1s|     1 |     0 |  6101 |     - |    42M |   0 | 375 | 639 | 738 | 101 | 26 |   0 |   0 | 1.334674e+04 | 7.186000e+03 |  85.73%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  2.2s|     1 |     0 |  6176 |     - |    42M |   0 | 375 | 639 | 741 | 104 | 27 |   0 |   0 | 1.334056e+04 | 7.186000e+03 |  85.65%| unknown
  2.2s|     1 |     0 |  6342 |     - |    42M |   0 | 375 | 639 | 740 | 107 | 28 |   0 |   0 | 1.330822e+04 | 7.186000e+03 |  85.20%| unknown
  2.3s|     1 |     0 |  6445 |     - |    42M |   0 | 375 | 639 | 743 | 110 | 29 |   0 |   0 | 1.329448e+04 | 7.186000e+03 |  85.01%| unknown
  2.3s|     1 |     0 |  6493 |     - |    42M |   0 | 375 | 639 | 746 | 113 | 30 |   0 |   0 | 1.328659e+04 | 7.186000e+03 |  84.90%| unknown
  2.4s|     1 |     0 |  6580 |     - |    42M |   0 | 375 | 639 | 754 | 121 | 31 |   0 |   0 | 1.328103e+04 | 7.186000e+03 |  84.82%| unknown
  2.4s|     1 |     0 |  6701 |     - |    42M |   0 | 375 | 639 | 757 | 124 | 32 |   0 |   0 | 1.326125e+04 | 7.186000e+03 |  84.54%| unknown
  2.5s|     1 |     0 |  6834 |     - |    42M |   0 | 375 | 639 | 763 | 130 | 33 |   0 |   0 | 1.324260e+04 | 7.186000e+03 |  84.28%| unknown
  2.6s|     1 |     0 |  6960 |     - |    42M |   0 | 375 | 639 | 766 | 135 | 34 |   0 |   0 | 1.322604e+04 | 7.186000e+03 |  84.05%| unknown
  2.6s|     1 |     0 |  7028 |     - |    42M |   0 | 375 | 639 | 770 | 139 | 35 |   0 |   0 | 1.322101e+04 | 7.186000e+03 |  83.98%| unknown
  2.7s|     1 |     0 |  7094 |     - |    42M |   0 | 375 | 639 | 774 | 143 | 36 |   0 |   0 | 1.321173e+04 | 7.186000e+03 |  83.85%| unknown
  2.7s|     1 |     0 |  7218 |     - |    42M |   0 | 375 | 639 | 779 | 148 | 37 |   0 |   0 | 1.319707e+04 | 7.186000e+03 |  83.65%| unknown
  2.8s|     1 |     0 |  7350 |     - |    42M |   0 | 375 | 639 | 783 | 152 | 38 |   0 |   0 | 1.318329e+04 | 7.186000e+03 |  83.46%| unknown
  2.9s|     1 |     0 |  7473 |     - |    42M |   0 | 375 | 639 | 785 | 154 | 39 |   0 |   0 | 1.317240e+04 | 7.186000e+03 |  83.31%| unknown
  2.9s|     1 |     0 |  7596 |     - |    42M |   0 | 375 | 639 | 779 | 160 | 40 |   0 |   0 | 1.315904e+04 | 7.186000e+03 |  83.12%| unknown
  3.0s|     1 |     0 |  7694 |     - |    42M |   0 | 375 | 639 | 783 | 164 | 41 |   0 |   0 | 1.314422e+04 | 7.186000e+03 |  82.91%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.1s|     1 |     0 |  7882 |     - |    42M |   0 | 375 | 639 | 786 | 167 | 42 |   0 |   0 | 1.311744e+04 | 7.186000e+03 |  82.54%| unknown
  3.1s|     1 |     0 |  7976 |     - |    43M |   0 | 375 | 639 | 792 | 173 | 43 |   0 |   0 | 1.310612e+04 | 7.186000e+03 |  82.38%| unknown
  3.2s|     1 |     0 |  8069 |     - |    43M |   0 | 375 | 639 | 796 | 177 | 44 |   0 |   0 | 1.309768e+04 | 7.186000e+03 |  82.27%| unknown
  3.3s|     1 |     0 |  8194 |     - |    43M |   0 | 375 | 639 | 801 | 182 | 45 |   0 |   0 | 1.308416e+04 | 7.186000e+03 |  82.08%| unknown
  3.3s|     1 |     0 |  8288 |     - |    43M |   0 | 375 | 639 | 797 | 187 | 46 |   0 |   0 | 1.307573e+04 | 7.186000e+03 |  81.96%| unknown
  3.4s|     1 |     0 |  8362 |     - |    43M |   0 | 375 | 639 | 800 | 190 | 47 |   0 |   0 | 1.306985e+04 | 7.186000e+03 |  81.88%| unknown
  3.6s|     1 |     0 |  8490 |     - |    44M |   0 | 375 | 639 | 805 | 195 | 48 |   0 |   0 | 1.306100e+04 | 7.186000e+03 |  81.76%| unknown
  3.7s|     1 |     0 |  8565 |     - |    44M |   0 | 375 | 639 | 807 | 197 | 49 |   0 |   0 | 1.305649e+04 | 7.186000e+03 |  81.69%| unknown
  3.7s|     1 |     0 |  8635 |     - |    44M |   0 | 375 | 639 | 811 | 201 | 50 |   0 |   0 | 1.305023e+04 | 7.186000e+03 |  81.61%| unknown
  3.8s|     1 |     0 |  8675 |     - |    44M |   0 | 375 | 639 | 812 | 202 | 51 |   0 |   0 | 1.304762e+04 | 7.186000e+03 |  81.57%| unknown
  3.8s|     1 |     0 |  8773 |     - |    44M |   0 | 375 | 639 | 802 | 207 | 52 |   0 |   0 | 1.304008e+04 | 7.186000e+03 |  81.47%| unknown
  3.9s|     1 |     0 |  8822 |     - |    44M |   0 | 375 | 639 | 806 | 211 | 53 |   0 |   0 | 1.303582e+04 | 7.186000e+03 |  81.41%| unknown
  3.9s|     1 |     0 |  8899 |     - |    44M |   0 | 375 | 639 | 810 | 215 | 54 |   0 |   0 | 1.303020e+04 | 7.186000e+03 |  81.33%| unknown
  4.0s|     1 |     0 |  9004 |     - |    44M |   0 | 375 | 639 | 814 | 219 | 55 |   0 |   0 | 1.301344e+04 | 7.186000e+03 |  81.09%| unknown
  4.0s|     1 |     0 |  9101 |     - |    44M |   0 | 375 | 639 | 821 | 226 | 56 |   0 |   0 | 1.300442e+04 | 7.186000e+03 |  80.97%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  4.1s|     1 |     0 |  9204 |     - |    44M |   0 | 375 | 639 | 830 | 235 | 57 |   0 |   0 | 1.299462e+04 | 7.186000e+03 |  80.83%| unknown
  4.1s|     1 |     0 |  9334 |     - |    44M |   0 | 375 | 639 | 821 | 240 | 58 |   0 |   0 | 1.297849e+04 | 7.186000e+03 |  80.61%| unknown
  4.2s|     1 |     0 |  9434 |     - |    44M |   0 | 375 | 639 | 827 | 246 | 59 |   0 |   0 | 1.296543e+04 | 7.186000e+03 |  80.43%| unknown
  4.3s|     1 |     0 |  9532 |     - |    44M |   0 | 375 | 639 | 831 | 250 | 60 |   0 |   0 | 1.295930e+04 | 7.186000e+03 |  80.34%| unknown
  4.3s|     1 |     0 |  9693 |     - |    44M |   0 | 375 | 639 | 837 | 256 | 61 |   0 |   0 | 1.294215e+04 | 7.186000e+03 |  80.10%| unknown
  4.4s|     1 |     0 |  9777 |     - |    44M |   0 | 375 | 639 | 842 | 261 | 62 |   0 |   0 | 1.293738e+04 | 7.186000e+03 |  80.04%| unknown
r 4.4s|     1 |     0 |  9777 |     - |randroun|   0 | 375 | 639 | 842 |   0 | 62 |   0 |   0 | 1.293738e+04 | 7.234000e+03 |  78.84%| unknown
  4.5s|     1 |     0 |  9874 |     - |    44M |   0 | 375 | 639 | 843 | 262 | 63 |   0 |   0 | 1.293009e+04 | 7.234000e+03 |  78.74%| unknown
