presolving:
(round 1, fast)       1435473 del vars, 5727 del conss, 0 add conss, 2406 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       1435474 del vars, 5727 del conss, 0 add conss, 4759 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, fast)       1435474 del vars, 5727 del conss, 0 add conss, 7047 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 4, fast)       1435474 del vars, 5727 del conss, 0 add conss, 9270 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 5, fast)       1435474 del vars, 5727 del conss, 0 add conss, 11419 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 6, fast)       1435474 del vars, 5727 del conss, 0 add conss, 13499 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 7, fast)       1435474 del vars, 5727 del conss, 0 add conss, 15532 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 8, fast)       1435474 del vars, 5727 del conss, 0 add conss, 17503 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 9, fast)       1435474 del vars, 5727 del conss, 0 add conss, 19394 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 10, fast)       1435474 del vars, 5727 del conss, 0 add conss, 21223 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 11, fast)       1435474 del vars, 5727 del conss, 0 add conss, 22994 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 12, fast)       1435474 del vars, 5727 del conss, 0 add conss, 24714 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 13, fast)       1435474 del vars, 5727 del conss, 0 add conss, 26351 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 14, fast)       1435474 del vars, 5727 del conss, 0 add conss, 27945 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 15, fast)       1435474 del vars, 5727 del conss, 0 add conss, 29483 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 16, fast)       1435474 del vars, 5727 del conss, 0 add conss, 30979 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 17, fast)       1435474 del vars, 5727 del conss, 0 add conss, 32421 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 18, fast)       1435474 del vars, 5727 del conss, 0 add conss, 33777 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 19, fast)       1435474 del vars, 5727 del conss, 0 add conss, 35092 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 20, fast)       1435474 del vars, 5727 del conss, 0 add conss, 36343 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 21, fast)       1435474 del vars, 5727 del conss, 0 add conss, 37527 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 22, fast)       1435474 del vars, 5727 del conss, 0 add conss, 38667 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 23, fast)       1435474 del vars, 5727 del conss, 0 add conss, 39773 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 24, fast)       1435474 del vars, 5727 del conss, 0 add conss, 40841 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 25, fast)       1435474 del vars, 5727 del conss, 0 add conss, 41868 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 26, fast)       1435474 del vars, 5727 del conss, 0 add conss, 42860 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 27, fast)       1435474 del vars, 5727 del conss, 0 add conss, 43810 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 28, fast)       1435474 del vars, 5727 del conss, 0 add conss, 44736 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 29, fast)       1435474 del vars, 5727 del conss, 0 add conss, 45628 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 30, fast)       1435474 del vars, 5727 del conss, 0 add conss, 46476 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 31, fast)       1435474 del vars, 5727 del conss, 0 add conss, 47292 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 32, fast)       1435474 del vars, 5727 del conss, 0 add conss, 48076 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 33, fast)       1435474 del vars, 5727 del conss, 0 add conss, 48835 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 34, fast)       1435474 del vars, 5727 del conss, 0 add conss, 49558 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 35, fast)       1435474 del vars, 5727 del conss, 0 add conss, 50240 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 36, fast)       1435474 del vars, 5727 del conss, 0 add conss, 50902 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 37, fast)       1435474 del vars, 5727 del conss, 0 add conss, 51535 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 38, fast)       1435474 del vars, 5727 del conss, 0 add conss, 52142 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 39, fast)       1435474 del vars, 5727 del conss, 0 add conss, 52722 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 40, fast)       1435474 del vars, 5727 del conss, 0 add conss, 53267 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 41, fast)       1435474 del vars, 5727 del conss, 0 add conss, 53782 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 42, fast)       1435474 del vars, 5727 del conss, 0 add conss, 54279 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 43, fast)       1435474 del vars, 5727 del conss, 0 add conss, 54765 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 44, fast)       1435474 del vars, 5727 del conss, 0 add conss, 55239 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 45, fast)       1435474 del vars, 5727 del conss, 0 add conss, 55696 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 46, fast)       1435474 del vars, 5727 del conss, 0 add conss, 56140 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 47, fast)       1435474 del vars, 5727 del conss, 0 add conss, 56576 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 48, fast)       1435474 del vars, 5727 del conss, 0 add conss, 57006 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 49, fast)       1435474 del vars, 5727 del conss, 0 add conss, 57423 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 50, fast)       1435474 del vars, 5727 del conss, 0 add conss, 57832 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 51, fast)       1435474 del vars, 5727 del conss, 0 add conss, 58232 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 52, fast)       1435474 del vars, 5727 del conss, 0 add conss, 58621 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 53, fast)       1435474 del vars, 5727 del conss, 0 add conss, 59001 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 54, fast)       1435474 del vars, 5727 del conss, 0 add conss, 59374 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 55, fast)       1435474 del vars, 5727 del conss, 0 add conss, 59743 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 56, fast)       1435474 del vars, 5727 del conss, 0 add conss, 60107 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 57, fast)       1435474 del vars, 5727 del conss, 0 add conss, 60463 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 58, fast)       1435474 del vars, 5727 del conss, 0 add conss, 60814 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 59, fast)       1435474 del vars, 5727 del conss, 0 add conss, 61157 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 60, fast)       1435474 del vars, 5727 del conss, 0 add conss, 61494 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 61, fast)       1435474 del vars, 5727 del conss, 0 add conss, 61820 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 62, fast)       1435474 del vars, 5727 del conss, 0 add conss, 62135 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 63, fast)       1435474 del vars, 5727 del conss, 0 add conss, 62441 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 64, fast)       1435474 del vars, 5727 del conss, 0 add conss, 62739 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 65, fast)       1435474 del vars, 5727 del conss, 0 add conss, 63028 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 66, fast)       1435474 del vars, 5727 del conss, 0 add conss, 63315 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 67, fast)       1435474 del vars, 5727 del conss, 0 add conss, 63595 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 68, fast)       1435474 del vars, 5727 del conss, 0 add conss, 63869 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 69, fast)       1435474 del vars, 5727 del conss, 0 add conss, 64135 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 70, fast)       1435474 del vars, 5727 del conss, 0 add conss, 64399 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 71, fast)       1435474 del vars, 5727 del conss, 0 add conss, 64657 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 72, fast)       1435474 del vars, 5727 del conss, 0 add conss, 64910 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 73, fast)       1435474 del vars, 5727 del conss, 0 add conss, 65160 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 74, fast)       1435474 del vars, 5727 del conss, 0 add conss, 65410 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 75, fast)       1435474 del vars, 5727 del conss, 0 add conss, 65653 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 76, fast)       1435474 del vars, 5727 del conss, 0 add conss, 65892 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 77, fast)       1435474 del vars, 5727 del conss, 0 add conss, 66129 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 78, fast)       1435474 del vars, 5727 del conss, 0 add conss, 66363 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 79, fast)       1435474 del vars, 5727 del conss, 0 add conss, 66594 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 80, fast)       1435474 del vars, 5727 del conss, 0 add conss, 66818 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 81, fast)       1435474 del vars, 5727 del conss, 0 add conss, 67042 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 82, fast)       1435474 del vars, 5727 del conss, 0 add conss, 67259 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 83, fast)       1435474 del vars, 5727 del conss, 0 add conss, 67467 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 84, fast)       1435474 del vars, 5727 del conss, 0 add conss, 67672 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
