problem_class,question,answer
"[""Diet Problem""]","Imagine you're a dietitian, tasked with planning a nutritious and balanced meal for an athlete. The athlete needs to maintain a high protein, moderate carb diet, with enough calories to sustain their intense training regimen. The goal is to meet these dietary requirements at the lowest cost possible. You have five different food items to choose from: Steak, Rice, Chicken, Iceberg Lettuce, and Almonds. Each of these foods contains varying amounts of protein, carbohydrates, and calories, and each comes with a specific cost.

Here's a detailed breakdown of the nutritional value of each food item and its cost:

- Steak: Offers a whopping 20 grams of protein, 12 grams of carbohydrates, and 167 calories for $7.
- Rice: Provides 6 grams of protein, an impressive 29 grams of carbohydrates, and a hefty 275 calories for $8.
- Chicken: Packs 17 grams of protein, 26 grams of carbohydrates, and 112 calories for only $2.
- Iceberg Lettuce: Contains only 1 gram of protein, 8 grams of carbohydrates, and 148 calories for $8.
- Almonds: Provide 10 grams of protein, 2 grams of carbohydrates, and a high 286 calories for just $2.

The athlete's daily dietary requirements are as follows: at least 83 grams of protein, 128 grams of carbohydrates, and 1686 calories.

Your challenge is to select a combination of these foods that meets the athletes' nutritional needs, while keeping the costs as low as possible. So, what is the lowest possible cost to meet these dietary requirements? You could only assign integral portions of each type of food.",[18.0]
['Diet Problem'],"Imagine you are on a mission to take control of your diet, meeting all your nutritional needs without breaking the bank. As a savvy shopper, you've narrowed down your food options to five different items, each providing different amounts of nutrients at varying costs. 

Here is a summary of what each food option offers and their respective costs:

- Chicken: It provides 18 grams of protein, 6 grams of carbohydrates, and 142 calories at a cost of $4.
- Rice: This food item gives you 12 grams of protein, 28 grams of carbohydrates, and 88 calories for $8.
- Broccoli: For $7, it offers 13 grams of protein, 19 grams of carbohydrates, and 137 calories.
- Tofu: At a cost of $10, you get 5 grams of protein, 16 grams of carbohydrates, and 141 calories.
- Beans: This item provides an impressive 10 grams of protein, 20 grams of carbohydrates, and 150 calories for only $1.

Your daily nutritional targets are to consume at least 56 grams of protein, 194 grams of carbohydrates, and 2012 calories. The key challenge here is to meet these dietary requirements in the most cost-effective way possible, using any combination of the food items listed above. 

Now, the question is, what is the minimal cost to meet your daily nutritional requirements using these food items? You could only assign integral portions of each type of food.",[14.0]
"[""Network Optimization""]","In the heart of a bustling metropolis, an expansive network of waterways and canals forms the lifeline for its residents, connecting 9 critical distribution centers that manage the flow of water from the city's reservoirs to its farthest suburbs. This intricate system, designed to ensure the smooth and efficient delivery of water, consists of channels with varying capacities, reflecting the maximum volumes of water (in thousands of gallons per hour) that can traverse these connections without causing overflow or damage.

Here's a detailed look at the capacities of each channel in this vital network:

- From Distribution Center 0 (Source), the water can be directed to Centers 1 through 8 with capacities of 9, 7, 18, 0, 0, 7, 0, and 2 thousand gallons per hour, respectively.
- Center 1 has the capability to forward water to other centers, including sending 15, 11, 5, 20, 15, 18, 9, and 15 thousand gallons per hour to Centers 0 through 8 (excluding itself).
- Similarly, the capacities from Center 2 to others are marked by flows of 3, 8, 0, 10, 16, 18, 8, 0, and 20 thousand gallons per hour to Centers 0 through 8, respectively.
- The flow continues from Center 3 with capacities of 13, 3, 7, 0, 20, 13, 16, 6, and 20 thousand gallons per hour to the respective centers.
- From Center 4, water can be distributed with capacities of 7, 20, 2, 4, 0, 9, 3, 14, and 2 thousand gallons per hour.
- Center 5 allows for a distribution flow of 17, 10, 5, 1, 4, 0, 4, 3, and 20 thousand gallons per hour towards the respective centers.
- The network from Center 6 can support flows of 0, 20, 10, 10, 15, 5, 0, 1, and 10 thousand gallons per hour.
- From Center 7, water can be directed with capacities of 10, 3, 9, 4, 3, 13, 18, 0, and 20 thousand gallons per hour.
- Finally, Center 8 can send back or redistribute water with capacities of 2, 12, 10, 5, 15, 14, 0, 10, and 0 thousand gallons per hour to the respective centers.

In this network, a capacity of ""0"" indicates the absence of a direct channel between two centers, necessitating the redirection of flow through other centers to ensure connectivity.

Given this complex and dynamic system, the city's water management team faces the challenging task of determining the maximum volume of water that can be efficiently distributed from Distribution Center 0 (the source) to all other centers, culminating at the final node (Center 8) which represents the city's outskirts. This calculation is crucial for optimizing the water supply and meeting the growing needs of the city's population.

What is the maximum amount of water (in thousands of gallons per hour) that can be distributed from the source to the outskirts without exceeding the specified capacities of the channels in the network?",[43.0]
['Capacitated Facility Location Problem'],"The nationwide retail chain, MarketHub, is in the process of restructuring its distribution network to efficiently cater to the demands of its five retail stores spread across different regions. The strategic decision involves selecting from eight potential distribution centers, each with its unique operational costs and capacities. The goal is to ensure that each retail store's demand is met with the lowest possible total cost, a comprehensive figure that includes the opening costs of the distribution centers and the transportation costs of the goods.

Given Data:
- Number of Potential Distribution Centers: 8
- Number of Retail Stores Needing Supply: 5

Opening Costs for Each Distribution Center (in dollars):
- Center 1: $151,000
- Center 2: $192,000
- Center 3: $114,000
- Center 4: $171,000
- Center 5: $160,000
- Center 6: $120,000
- Center 7: $182,000
- Center 8: $186,000

Transportation Cost Per Unit from Each Distribution Center to Retail Stores (in dollars):
- From Center 1: $3 to Store 1, $3 to Store 2, $5 to Store 3, $4 to Store 4, $3 to Store 5
- From Center 2: $5 to Store 1, $2 to Store 2, $4 to Store 3, $2 to Store 4, $4 to Store 5
- From Center 3: $5 to Store 1, $1 to Store 2, $4 to Store 3, $2 to Store 4, $5 to Store 5
- From Center 4: $4 to Store 1, $1 to Store 2, $1 to Store 3, $3 to Store 4, $3 to Store 5
- From Center 5: $2 to Store 1, $4 to Store 2, $4 to Store 3, $3 to Store 4, $4 to Store 5
- From Center 6: $4 to Store 1, $1 to Store 2, $3 to Store 3, $5 to Store 4, $3 to Store 5
- From Center 7: $5 to Store 1, $1 to Store 2, $2 to Store 3, $4 to Store 4, $1 to Store 5
- From Center 8: $4 to Store 1, $2 to Store 2, $2 to Store 3, $1 to Store 4, $2 to Store 5

Demand of Each Retail Store (in units):
- Store 1: 964 units
- Store 2: 739 units
- Store 3: 491 units
- Store 4: 766 units
- Store 5: 854 units

Supply Capacity of Each Distribution Center (in units):
- Center 1: 1308 units
- Center 2: 1575 units
- Center 3: 834 units
- Center 4: 1005 units
- Center 5: 1904 units
- Center 6: 1825 units
- Center 7: 1821 units
- Center 8: 1365 units

MarketHub aims to optimize the balance between maintaining an efficient supply chain and minimizing costs. The challenge is to select the right combination of distribution centers to open and manage the flow of goods to the stores in a way that meets all the demand while keeping both opening and transportation costs as low as possible.

Question:
What is the optimal total cost for MarketHub to open distribution centers and transport goods to fully satisfy the demands of all five retail stores, including both the opening costs of the centers and the transportation costs of supplying the stores?",[394198.0]
['TravelingSalesman'],"Imagine a scenario involving a salesperson who needs to visit five distinct cities to promote their products. These cities are uniquely numbered from 1 to 5. The objective for the salesperson is to undertake a journey starting from any one of these cities and cover all others once before returning to the starting point, all while incurring the least travel cost possible. The travel costs vary depending on the route between each city pair.

Here's a breakdown of the travel costs between the cities:
- The cost to travel from City 1 to City 2 is 73 units, to City 3 is 39 units, to City 4 is 79 units, and to City 5 is 38 units.
- From City 2, it costs 73 units to reach City 1, 30 units to go to City 3, 46 units to visit City 4, and 29 units to get to City 5.
- Traveling from City 3, the costs are 39 units to City 1, 30 units to City 2, 88 units to City 4, and 57 units to City 5.
- From City 4, it costs 79 units to go to City 1, 46 units to City 2, 88 units to City 3, and 59 units to City 5.
- Lastly, from City 5, the travel costs are 38 units to City 1, 29 units to City 2, 57 units to City 3, and 59 units to City 4.

Given these details, what is the minimum total travel cost for the salesperson to visit each city exactly once and return to the starting city?",[212.0]
['TravelingSalesman'],"Consider a scenario where a tour guide is planning a bus tour across five cities, named E, F, G, H, and I. The tour must start and end in the same city, and each city should be visited exactly once. The objective is to minimize the total cost of the tour, which could be influenced by factors such as distance, tolls, and fuel expenses.

Here are the travel costs between the cities:

From City E, it costs 37 units to travel to F, 72 units to G, 66 units to H, and 33 units to I.
Travelling from City F, the costs are 37 units to E, 26 units to G, 56 units to H, and a whopping 100 units to I.
If the journey starts from City G, it takes 72 units to reach E, 26 units to F, 49 units to H, and 32 units to I.
From City H, it costs 66 units to get to E, 56 units to F, 49 units to G, and a mere 13 units to I.
Lastly, from City I, the travel costs are 33 units to E, 100 units to F, 32 units to G, and 13 units to H.

Keeping these costs in mind, what is the minimum total travel cost for the tour guide to take the bus to each city exactly once and return to the starting city?",[158.0]
['Diet Problem'],"Imagine you're a dietitian, tasked with crafting a healthy and balanced meal plan for a client on a budget. The tricky part is that you must choose from a list of nine food items, each with their own cost and nutritional values for protein, carbohydrates, and calories.

Here's the rundown of what each food item provides and its cost:

- Chicken Breast: Delivers 17 grams of protein, 28 grams of carbohydrates, and 136 calories for $3.
- Tofu:  Yields 15 grams of protein, 11 grams of carbohydrates, and 198 calories for $2.
- Brown Rice:  Offers just 1 gram of protein, 11 grams of carbohydrates, and 93 calories for $2.
- Salmon:  Gives you 11 grams of protein, 3 grams of carbohydrates, and a hefty 269 calories for $6.
- Greek Yogurt:  Provides 15 grams of protein, 27 grams of carbohydrates, and 121 calories for $6.
- Steak:  Comes with 12 grams of protein, 3 grams of carbohydrates, and 80 calories for a steeper price of $10.
- Avocado:  Provides 4 grams of protein, 8 grams of carbohydrates, and a whopping 300 calories for $7.
- Eggs:  Offer 16 grams of protein, 25 grams of carbohydrates, and 99 calories for $5.
- Quinoa:  Comes with 11 grams of protein, 20 grams of carbohydrates, and 87 calories for just $2.

Your goal is to make sure your client gets at least 72 grams of protein, 158 grams of carbohydrates, and 1896 calories from the combination of foods you choose. But you also need to keep costs to a minimum. What is the least amount of money you would need to spend to meet all of these nutritional targets from these nine food options? You could only assign integral portions of each type of food.",[24.0]
"[""TravelingSalesman""]","Imagine a salesperson tasked with visiting five distinct cities to expand their business network. These cities are uniquely identified as City 1, City 2, City 3, City 4, and City 5. The salesperson is free to choose any of these cities as the starting point. However, they must travel to each city exactly once, concluding their journey at the starting city. The primary objective is to minimize the total travel cost associated with the entire trip, which includes expenses such as transportation costs between the cities.

Here is a detailed breakdown of the travel costs between the cities:
- The cost to travel from City 1 to City 2 is 87 units, to City 3 is 41 units, to City 4 is 55 units, and to City 5 is 57 units.
- From City 2, it costs 87 units to reach City 1, 80 units to travel to City 3, 33 units to City 4, and 40 units to City 5.
- Traveling from City 3, the costs are 41 units to City 1, 80 units to City 2, 90 units to City 4, and 42 units to City 5.
- From City 4, the journey costs 55 units to City 1, 33 units to City 2, 90 units to City 3, and 53 units to City 5.
- Lastly, from City 5, it costs 57 units to travel to City 1, 40 units to City 2, 42 units to City 3, and 53 units to City 4.

Given this cost matrix, what is the minimum total travel cost for the salesperson to visit each city exactly once and return to the starting city?",[211.0]
"[""Profit Maximization Problem""]","Star Oil Company is considering five different investment opportunities. The cash outflows and net present values (NPVs) (in millions of dollars) for each opportunity are given in Table 7. Specifically, Investment 1 has a time 0 cash outflow of $11 million and a time 1 cash outflow of $3 million, with an NPV of $13 million. Investment 2 requires a time 0 outflow of $53 million and a time 1 outflow of $6 million, yielding an NPV of $16 million. Investment 3 has smaller outflows of $5 million at both time 0 and time 1 and also an NPV of $16 million. Investment 4 asks for a time 0 outflow of $5 million and a minimal $1 million at time 1, with an NPV of $14 million. Lastly, Investment 5 requires a $29 million outflow at time 0 and a significant $34 million at time 1, resulting in the highest NPV of $39 million. Star Oil has $40 million available for investment at time 0, and it estimates that $20 million will be available for investment at time 1. Star Oil may purchase any fraction of each investment, in which case, the cash outflows and NPV are adjusted proportionally. For example, if Star Oil purchases one-fifth of investment 3, then a cash outflow of (1/5)*5=1 million dollars or $1 million would be required at time 0, and a cash outflow of (1/5)*5=1 million dollars or $1 million would be required at time 1. The one-fifth share of investment 3 would yield an NPV of (1/5)*16=3.2 million dollars or $3.2 million. Star Oil wants to maximize the NPV that can be obtained by investing in investments 1-5. The goal is to formulate an LP that will help achieve this objective. Assume that any funds left over at time 0 cannot be used at time 1. Find the maximum NPV in million dollars.",[57.4490172]
['Capacitated Facility Location Problem'],"In the bustling marketplace of today, GlobalSupply Inc. is at a critical juncture in strategizing the logistics of its supply chain. The company is faced with the challenge of efficiently distributing products to eight different retail stores. Each store has its unique demand for products, and GlobalSupply Inc. must decide on the best locations out of six possible distribution centers to fulfill these needs. The goal is to minimize the overall cost, which includes both the opening expenses of these distribution centers and the transportation costs associated with moving goods to the retail stores.

Given Data:
- Number of Potential Distribution Centers: 6
- Number of Retail Stores Needing Supply: 8

Opening Costs for Each Distribution Center (in dollars):
- Center 1: $151,000
- Center 2: $192,000
- Center 3: $114,000
- Center 4: $171,000
- Center 5: $160,000
- Center 6: $120,000

Transportation Cost Per Unit from Each Distribution Center to Retail Stores (in dollars):
- From Center 1: $2 to Store 1, $3 to Store 2, and so on, up to $5 to Store 8
- From Center 2: $2 to Store 1, $4 to Store 2, and so on, up to $2 to Store 8
- From Center 3: $5 to Store 1, $4 to Store 2, and so on, up to $4 to Store 8
- From Center 4: $4 to Store 1, $3 to Store 2, and so on, up to $3 to Store 8
- From Center 5: $5 to Store 1, $1 to Store 2, and so on, up to $2 to Store 8
- From Center 6: $1 to Store 1, $2 to Store 2, and so on, up to $4 to Store 8

Demand of Each Retail Store (in units):
- Store 1: 908
- Store 2: 434
- Store 3: 605
- Store 4: 480
- Store 5: 961
- Store 6: 787
- Store 7: 401
- Store 8: 789

Supply Capacity of Each Distribution Center (in units):
- Center 1: 1365
- Center 2: 1929
- Center 3: 1502
- Center 4: 1201
- Center 5: 1529
- Center 6: 961

The challenge for GlobalSupply Inc. is to find the most cost-effective way to open the necessary distribution centers and plan the logistics so that each retail store's demand is met. The company must carefully consider the opening costs of these centers, the capacities they offer, and the varying transportation costs to each retail store to devise a plan that minimizes total expenses.

Question:
What is the optimal total cost for GlobalSupply Inc. to open distribution centers and transport goods to meet all retail stores' demands, including both the opening costs of the centers and the transportation costs of supplying the stores?",[587428.0]
