problem_class,error analysis
Assignment Problem,"[(""When calculating profit, it is easy to confuse the per-unit profit with the total profit."", ""Whenever defining profit, be careful to judge if it should be per unit or total. You may have to multiply the per-unit amount with the total amount of units to get the final profit. Always align profit definition with the scale of the decision (per-unit vs total) based on the problem description"")]"
Blending Problem,"[ (""When solving blending problems with multiple types of products/materials and lower/upper bounds for quantities, it is easy to make mistakes by confusing whether these bounds should apply to each type separately or to the total aggregate amount across all types."", ""When you encounter blending problems with multiple types of products/materials and lower/upper bounds for quantities, think carefully whether they should apply to each type separately or to the total aggregate quantity across all types.""), (""When solving blending/production problems with multiple types of production sources (e.g., energy sources) with maximum quantities for each type, it is easy to make mistakes by assuming a source has to deliver its maximum quantity when used, instead of allowing partial production up to the capacity limit"", ""When solving blending/production problems with multiple types of production sources (e.g., energy sources) with maximum quantities for each type, please define variables y_i for the quantity that is provided from each type of source i, such that 0 <= y_i <= maxQuantity_i. Use these variables both for any costs that depend on the production amounts in the objective, as well as to make sure enough quantities have been produced to satisfy the demand.""), (""When solving blending/production problems with multiple types of production sources (e.g., energy sources) and installation costs for each type, it is easy to make mistakes by considering the installation cost to be dependent on the produced quantity of each type, instead of a fixed cost for using the type/source"", ""When solving blending/production problems with multiple types of production sources (e.g., energy sources) and installation costs for each type, please define binary variables x_i representing whether the type/source i is used and multiply this with the installation cost of i in the objective in order to capture the installation cost for each type/source as fixed cost for using that type/source, and not dependent on the amount produced by the source, unless explictly stated otherwise.""), (""When solving allocation problems with multiple considerations (e.g., costs, preferences), it is easy to confuse the different aspects of the problem and optimize for the wrong objective"", ""When solving allocation problems with multiple considerations (e.g., costs, preferences), think carefully which aspect must be in the objective and which in the constraints. For example, if the problem asks to maximize the total preferences under budget constraints, the preferences must be in the objective, and the costs must be considered in the budget constraint.""), (""When solving blending problems with batch percentages and cost bounds, it is easy to make mistakes by mixing units."", ""When you encountered blending problems with batch normalization, please always decide on one normalization—either set total mix = 1 (fractions) or = W (mass)—and then convert every percentage constraint and price to the same base (percent×W for bounds, price/W if needed).""), (""When solving problems with tiered purchase costs, it is easy to make mistakes by incorrectly allowing higher-tier costs."", ""When you encountered a problem with tiered purchase costs, use a binary variable such as U_i to denote that tier i can be used. To guarantee purchases only from allowed tiers, apply constraint such as P_i <= num_i * U_i for every tier i, where P_i is the amount purchase at tier i and num_i is the number of units that can be purchased at this tier, and for every tier i except the last use constraints such as  U_{i+1} * num_i <= P_i to disallow the next tier i+1 unless the current tier i is fully used."") ]"
Capacitated Facility Location Problem,"[ ( ""When solving capacitated facility location or network-flow–style models with node supplies/demands, it is easy to make mistakes by flipping the sign of supply versus demand in the flow-conservation constraints."", ""When you encounter a model that stores the net supply on a vector B (so B[i] is positive for supply surplus and negative for net demand), please enforce flow conservation as outflow from i − inflow into i <= B[i], i.e., ∑_j x[i,j] − ∑_j x[j,i] <= B[i]; when B stores the net demand (so B[i] is negative for supply surplus and positive for net demand), please enforce inflow into i − outflow from i >= B[i], i.e., ∑_j x[j,i] − ∑_j x[i,j] >= B[i]."" ) ]"
Capacitated Lot-sizing Problem (CLSP),"[ (""When solving capacitated lot-sizing or production planning problems that refer to countable “units” of items, it is easy to make mistakes by allowing fractional production quantities (continuous variables) instead of enforcing integrality."", ""When you encounter a production planning problem that mentions “unit” of items, “per unit” costs, “how many units,” or related notions, please consider that it is only possible to produce integral quantities of the items. The appropriate decision variables should be restricted to be integral to reflect this.""),  (""When solving lot-sizing problems that allow backlog, it is easy to make mistakes by mis-handling backlog terms in the inventory balance (e.g., wrong sign or missing B_{t-1} or B_t)."", ""When you encounter lot-sizing with backlog, please take backlog into account in the inventory balance constraint at period t as follows: x_t + I_{t-1} = d_t + B_{t-1} - B_t + I_t, where B_{t-1} is the backlog from the previous time, B_t is the backlog at the end of the present time, I_{t-1} is the inventory from the previous time, I_t is the inventory at the end of the present time, and x_t is the production level of the current time. Notice that the backlog from the previous time should be added to the demand, and the present backlog should be subtracted.""), (""When solving multi-product, multi-period production planning with a shared time/machine capacity, it is easy to make mistakes by relying only on per-product limits and missing the aggregate shared-capacity coupling, which can permit total capacity to be exceeded."", ""When you work on multi-period and production planning models, please focus on correctly linking time periods and constraining shared resources. Treat initial conditions (e.g., starting inventory at the beginning of the horizon) as fixed parameters, not decision variables, and ensure your primary balance constraint starts with the very first decision period to correctly connect its decisions to these fixed starting values. Additionally, look for phrases like “if all lines are devoted to one product,” which signal a shared capacity (like total machine-days); this must be modeled with a single, aggregate constraint that sums the consumption of that resource across all competing activities, rather than just using separate, independent limits."")]"
Contract Allocation,"[ (""When solving budget-constrained allocation with branch/category preferences and supplier prices/capacities, it is easy to make mistakes by multiplying preference-weighted book counts by unit prices in the objective, which effectively maximizes money spent and favors expensive suppliers rather than maximizing preference-weighted quantities of books delivered."", ""When you encounter budget-constrained allocation with branch/category preferences and supplier prices/capacities, please define x_{b,s,c} as integer book counts, maximize ∑{b,c} w{b,c} (∑{s} x{b,s,c}) (preference-weighted quantities), and enforce budgets ∑{s,c} p{s,c} x_{b,s,c} ≤ budget_b and supplier-category capacities ∑{b} x{b,s,c} ≤ supply_{s,c}; do not include prices in the objective."") ]"
Diet Problem,"[ (""When solving diet optimization problems where servings are countable items (whole servings), it is easy to make mistakes by modeling the serving decision variables as continuous (or binary) rather than integer, which permits fractional (or only 0–1) servings and leads to unrealistic or incorrect costs."", ""When you encounter a diet problem with countable servings, please define servings as integer variables (don’t allow fractional values for servings) unless the problem statement explicitly states otherwise."") ]"
Discrete Lot-sizing and Scheduling Problem,"[ (""When solving production-planning / lot-sizing problems where items are countable units, it is easy to make mistakes by allowing fractional production/inventory/sales variables instead of using integrality."", ""When you encounter a production planning problem that mentions “unit” of items, “per unit” costs, “how many units”, or related notions, please restrict the appropriate decision variables to be integral to reflect indivisible units.""), (""When solving multi-period lot-sizing models with backlog, it is easy to make mistakes by omitting backlog terms in the inventory balance or using the wrong signs."", ""When you encounter a model where backlog is allowed, please take it into account in the period-t balance as: x_t + I_{t-1} = d_t + B_{t-1} - B_t + I_t, where B_{t-1} is the backlog at the end of period t-1, B_t is the backlog at the end of period t, I_{t-1} is the inventory at the end of period t-1, I_t is the inventory at the end of period t, and x_t is the production level of period t. Note that B_{t-1} must be added to the demand of period t and B_t must be subtracted.""), (""When solving multi-period lot-sizing/inventory models with specified initial inventories, it is easy to make mistakes by mis-indexing the inventory state (e.g., reusing I[0] as both the fixed initial inventory and the inventory at the end of the first period), which forces incorrect carryover and mischarges holding cost."", ""If there is given initial inventory, make sure to use a different name for the initial inventory versus the inventory at the end of the first period.""), (""When solving multi-period lot-sizing problems, if there are periods that are unavailable for production, it is easy to make mistakes by relying on implicit restrictions (e.g., zero capacity in a needed period) instead of explicitly forbidding production. Also, it is easy to make mistakes in the treatment of the inventory at the end of the first period, t=0."", ""When you encounter multi-period production–inventory problems, if some periods are unavailable for production, please add explicit no-production constraints for unavailable periods (x_{p,t}=0), where x_{p,t} is the production amount for product p on period t. If there is no given initial inventory and backlogs are not allowed, then the inventory at the end of period t=0 is given by I_{p,0}=x_{p,0}-s_{p,0} where I_{p,0} is the inventory at the end of period 0, x_{p,0} the amount produced in period 0, and s_{p,0} the sales in period 0; for t>0, we need to account for the inventory from the previous period I_{p, t-1} as follows I_{p,t}=I_{p,t-1}+x_{p,t}-s_{p,t}). Please ensure the objective charges holding costs only on end-of-period inventories."") ]"
Facility Location Problem (FLP),"[(""When solving linear facility-sizing or resource-allocation models, it is easy to make mistakes by misinterpreting the objective’s units or confusing costs/benefits for different aspects of the problem in the objective."", ""When solving linear facility-sizing or resource-allocation models, think carefully what are the correct units in the objective, for example if we are allowed to allocate partial amounts (e.g., there is a total available area and we can allocate in some of it), then we may pay partial cost, but also may have partial benefits, i.e., only the proportion of benefits that correspond to this allocation fraction are obtained."")]"
Factory Planning Problem,"[ (""When solving production planning problems with countable 'units', it is easy to make mistakes by modeling decision variables as fractional rather than integer, which permits unrealistic partial units."", ""When you encounter a production planning problem that mentions 'unit' of items, 'per unit' costs, 'how many units', or related notions, please restrict the appropriate decision variables to be integral to reflect this.""), (""When solving multi-period lot-sizing problems, if there are periods that are unavailable for production, it is easy to make mistakes by relying on implicit restrictions (e.g., zero capacity in a needed period) instead of explicitly forbidding production. Also, it is easy to make mistakes in the treatment of the inventory at the end of the first period, t=0."", ""When you encounter multi-period production–inventory problems, if some periods are unavailable for production, please add explicit no-production constraints for unavailable periods (x_{p,t}=0), where x_{p,t} is the production amount for product p on period t. If there is no given initial inventory and backlogs are not allowed, then the inventory at the end of period t=0 is given by I_{p,0}=x_{p,0}-s_{p,0} where I_{p,0} is the inventory at the end of period 0, x_{p,0} the amount produced in period 0, and s_{p,0} the sales in period 0; for t>0, we need to account for the inventory from the previous period I_{p, t-1} as follows I_{p,t}=I_{p,t-1}+x_{p,t}-s_{p,t}). Please ensure the objective charges holding costs only on end-of-period inventories."") ]"
Job Shop,"[ (""When solving job-shop scheduling with precedence chains and no-overlap constraints, it is easy to make mistakes by creating bilinear terms and by introducing two directional binaries per unordered operation pair without exclusivity, which can permit overlapping on the same machine."", ""When you encounter job-shop scheduling with no-overlap constraints or shared machine, introduce a single binary variable for each unordered pair of operations that cannot overlap to indicate which of them will start first (e.g. y_{(j1,o1),(j2,o2)} to indicate whether operation o1 of job j1 should start before operation o2 of job j2), and impose this relation on the start times of the operations via two disjunctive inequalities with a big-M (e.g, s_{j1,o1} + p_{j1,o1} <= s_{j2,o2} + M*(1 - y_{(j1,o1),(j2,o2)}) and s_{j2,o2} + p_{j2,o2} <= s_{j1,o1} + M*y_{(j1,o1),(j2,o2)}, where s_{j,o} denotes the start time of operation o of job j and p_{j,o} its processing time). Never multiply a binary variable by the makespan variable. If the objective is to minimize the makespan Cmax, enforce Cmax >= start_time + processing_time for every operation.""), (""When solving scheduling problems, it is easy to make mistakes by fabricating instance details (e.g., assuming exactly two operations per job or inventing fixed machine assignments)."", ""When you encounter a scheduling problem that does not explicitly give the assignment of the operations to machines, do not assume or fabricate machines or machine assignments, and impose the no-overlap constraints using the 2 disjunctive big-M inequalities.""), (""Setting the big-M too small can lead to errors."", ""Set the big-M to be equal to the sum of the processing times of all operations plus 100.""),  ]"
